title,prep_time,cook_time,total_time,ingredients,ingredients with measurement,instructions,calories,servings,images,type_of_meal
Frosted Brown Sugar Pop Tart Bars,{'minutes': '30'},{'minutes': '45'},"{'hours': '1', 'minutes': '15'}","['all-purpose flour', 'dark brown sugar', 'cold salted butter, shredded', 'vanilla extract', 'dark brown sugar', 'all-purpose flour', 'ground cinnamon', 'salted butter, melted', 'apple butter', 'vanilla extract', 'salt', 'powdered sugar', 'maple syrup', 'vanilla extract', 'ground cinnamon', 'coarse salt or sugar, for sprinkling']","{'all-purpose flour': '1', 'dark brown sugar': '1', 'cold salted butter, shredded': '2', 'vanilla extract': '1', 'ground cinnamon': '1', 'salted butter, melted': '2', 'apple butter': '1/4', 'salt': '1', 'powdered sugar': '2', 'maple syrup': '1/4', 'coarse salt or sugar, for sprinkling': 'seasoning'}","['1. To make the cookie dough. In a bowl using an electric mixer, beat together the flour, sugar, and butter. Add the vanilla and 1/3 cup cold water. Beating until just combined, adding 1-2 tablespoons additional water as needed until the dough forms a ball.', '3. Preheat the oven to 350° F. Line a 9×9 inch baking dish with parchment paper.', '4. Divide the dough in half. Press half the dough into the prepared baking dish. Trace the 9x9 inch baking dish out on a sheet of parchment paper. Now, roll the remaining dough out just past the edges of the traced-out square. Set aside.', '5. To make the filling. Combine all ingredients in a bowl. Evenly spread the filling dough into the baking dish. Carefully invert the reserved dough square over the filling, pressing down gently to secure. Trim away any excess dough.', '6. Freeze the bars for 15 minutes. Bake for 40 - 45 minutes, until just set in the center.\xa0Let cool.', '7. To make the frosting. In a bowl, whisk together all of the ingredients and 1-2 tablespoons of water until smooth. If your frosting is too thick, thin with 1-2 tablespoons of additional water.', '8. Spread the frosting over the pop-tart bars. Let set a few minutes, then top with salt/sugar (optional). Let dry, then cut into bars. Serve or store in an airtight container for up to 3 days at room temperature.']",291 kcal,16,https://www.halfbakedharvest.com/wp-content/uploads/2024/08/Frosted-Brown-Sugar-Pop-Tart-Bars-7-scaled.jpg,dessert
Caramel Peach Dump Cake,{'minutes': '15'},{'hours': '1'},"{'hours': '1', 'minutes': '15'}","['peaches, quartered', 'salted butter, cubed', 'brown sugar', 'vanilla extract', 'salted butter, melted', 'large egg', 'vanilla extract', 'maple syrup or honey', 'milk', 'all-purpose flour or whole wheat pastry flour', 'baking soda', 'kosher salt', 'cinnamon sugar']","{'peaches, quartered': '8', 'salted butter, cubed': '1', 'brown sugar': '1', 'vanilla extract': '1', 'salted butter, melted': '1', 'large egg': '1', 'maple syrup or honey': '1/2', 'milk': '3/4', 'all-purpose flour or whole wheat pastry flour': '2', 'baking soda': '1', 'kosher salt': '1/2', 'cinnamon sugar': '1/4'}","['1. Preheat the oven to 375° F.', '2. Arrange the peaches in a large baking dish. Sprinkle the brown sugar and butter over the peaches. Add the vanilla. Bake for 30 minutes, or until the sauce is bubbling up around the peaches.', '3. Meanwhile, make the batter. In a bowl, stir together the melted butter, maple syrup (or honey), egg, vanilla, and milk until combined. Add the flour, baking soda, and salt, and mix until just combined.', '4. Remove the peaches from the oven and pour over the batter, do not stir. Sprinkle with cinnamon sugar. Bake for 30-40 minutes, until the center is just set and the edges begin to brown.', '5. Serve the cake warm or at room temp with ice cream.']",392 kcal,8,https://www.halfbakedharvest.com/wp-content/uploads/2024/08/Caramel-Peach-Dump-Cake-1-scaled.jpg,dessert
Chocolate Chip Sour Cream Coffee Cake,{'minutes': '25'},{'hours': '1'},"{'hours': '1', 'minutes': '25'}","['all-purpose or whole wheat pastry flour', 'baking powder', 'cinnamon', 'salt', 'instant espresso/coffee', 'sour cream or Greek yogurt', 'maple syrup', 'melted coconut oil or extra virgin olive oil', 'eggs', 'vanilla extract', 'chopped dark chocolate, plus more for topping', 'brown sugar', 'flour', 'melted butter', 'cinnamon', 'powdered sugar', 'vanilla extract', 'water or brewed espresso/coffee']","{'all-purpose or whole wheat pastry flour': '1 1/2', 'baking powder': '2', 'cinnamon': '1', 'salt': '1', 'instant espresso/coffee': '1-3', 'sour cream or Greek yogurt': '1', 'maple syrup': '1/2', 'melted coconut oil or extra virgin olive oil': '1/2', 'eggs': '3', 'vanilla extract': '2', 'chopped dark chocolate, plus more for topping': '1/2', 'brown sugar': '1/2', 'flour': '2', 'melted butter': '2', 'powdered sugar': '1', 'water or brewed espresso/coffee': '1-4'}","['1. Preheat the oven to 350° F. Line a (9×9 inch) square cake pan with parchment paper.', '2. In a bowl, whisk together the flour, baking powder, cinnamon, salt, and espresso/coffee powder. Add the sour cream (or yogurt), eggs, maple syrup, oil, and vanilla. Mix until fully combined. Fold in the chocolate pieces.', '3. To make the streusel. Combine all ingredients in a bowl and mix until a crumble forms.', ""4. Pour half the batter into the prepared pan. Sprinkle the streusel over the batter. Evenly spoon the remaining batter overtop. It's OK if it's not all covered. Bake for 45-55 minutes or until the center is just set. Remove and let cool for 30 minutes before icing."", '5. Meanwhile, make the icing (the icing can be optional). In a bowl, whisk together the powdered sugar, 1-4 tablespoons of water or brewed espresso/coffee, and vanilla. Pour the icing over the cake and top with extra chocolate chunks (if desired). Let set for one hour, slice, and enjoy.']",291 kcal,15,https://www.halfbakedharvest.com/wp-content/uploads/2024/04/Double-Chocolate-Chunk-Yogurt-Coffee-Cake-1-scaled.jpg,dessert
Banana Bread Carrot Cake with Vanilla Cream Cheese Frosting,{'minutes': '20'},{'hours': '1'},"{'hours': '1', 'minutes': '20'}","['medium overly ripe bananas, mashed', 'grated carrots', 'melted coconut oil', 'honey or maple syrup', 'eggs', 'vanilla extract', 'whole wheat pastry flour', 'baking soda', 'ground cinnamon', 'kosher salt', 'chopped walnuts', 'salted butter, at room temperature', 'cream cheese, at room temperature', 'vanilla', 'cinnamon', 'powdered sugar']","{'medium overly ripe bananas, mashed': '3', 'grated carrots': '1', 'melted coconut oil': '1/4', 'honey or maple syrup': '1/4', 'eggs': '2', 'vanilla extract': '2', 'whole wheat pastry flour': '1 1/2', 'baking soda': '1 1/2', 'ground cinnamon': '1', 'kosher salt': '1/2', 'chopped walnuts': '1', 'salted butter, at room temperature': '2', 'cream cheese, at room temperature': '2', 'vanilla': '1', 'cinnamon': '1/2', 'powdered sugar': '1-2'}","['1. Preheat the oven to 350° F. Grease a 9×5 inch bread pan.', '2. In a bowl, stir together the mashed bananas, carrots, coconut oil, honey/maple syrup, eggs, and vanilla until combined. Add the flour, baking soda, cinnamon, and salt, and mix until just combined. Fold in the walnuts if using.', '3. Pour the batter into the prepared pan. Bake for 50-60 minutes or until the center is just set. Remove and let cool for 30 minutes before frosting.', '4. To make the frosting. In a bowl, beat the butter, cream cheese, vanilla, cinnamon, and a pinch of salt. Mix in the sugar, using it to your taste. Frost the top of the bread. Slice and enjoy!']",436 kcal,8,https://www.halfbakedharvest.com/wp-content/uploads/2024/04/Banana-Bread-Carrot-Cake-with-Vanilla-Cream-Cheese-Frosting-1.jpg,dessert
Salted Butter Coconut Chocolate Chip Cookies,{'minutes': '15'},{'minutes': '15'},{'minutes': '30'},"['salted butter, at room temperature', 'brown sugar', 'granulated sugar', 'large eggs', 'vanilla extract', 'all-purpose flour', 'baking soda', 'kosher salt', 'unsweetened coconut flakes', 'chopped chocolate chunks or chips', 'flaky sea salt for sprinkling']","{'salted butter, at room temperature': '2', 'brown sugar': '2/3', 'granulated sugar': '1/3', 'large eggs': '2', 'vanilla extract': '1', 'all-purpose flour': '2', 'baking soda': '1', 'kosher salt': '1/2', 'unsweetened coconut flakes': '4', 'chopped chocolate chunks or chips': '1 1/2', 'flaky sea salt for sprinkling': 'seasoning'}","['1. Preheat the oven to 350° F. Line a baking sheet with parchment paper.', '2. Add the butter to a skillet set over medium heat. Cook until the butter begins to brown, about 3-4 minutes. Remove from the heat and transfer to a heatproof bowl. Let cool 5 minutes or so.', '3. To the brown butter, mix in the brown sugar, granulated sugar, eggs, and vanilla, mixing until smooth. Add the flour, baking soda, and salt. Mix in the coconut and chocolate.', '4. Roll the dough into rounded tablespoon-size balls and place 2 inches apart on the prepared baking sheet. I like to gently flatten the dough down for a thinner cookie. Bake for 8 minutes. Remove from the oven, rotate, and tap the baking sheet on the counter 1-2 times to flatten. Bake another 2-3 minutes or until the cookies are just beginning to set on the edges.', '5. Let the cookies cool on the baking sheet. They will continue to cook slightly as they sit on the baking sheet. Sprinkle with flaky salt (if desired). Eat warm (highly recommended) or let cool and store in an airtight container for up to 4 days.']",312 kcal,18,https://www.halfbakedharvest.com/wp-content/uploads/2024/04/Coconut-Brown-Butter-Chocolate-Chip-Cookies-2-scaled.jpg,dessert
Homemade 5 Ingredient Sour Fruit Gummies,{'minutes': '10'},{'minutes': '10'},"{'hours': '2', 'minutes': '20'}","['strawberry, blackberry, or blueberry jam', 'lemon juice, or use water', 'fruit pectin', 'collagen', 'granulated sugar, for coating']","{'strawberry, blackberry, or blueberry jam': '1', 'lemon juice, or use water': '3/4', 'fruit pectin': '2', 'collagen': '2', 'granulated sugar, for coating': 'seasoning'}","['1. In a saucepan, mix the jam with the lemon juice/water. Sprinkle the pectin and collagen on top, then whisk into the fruit.', '2. Place the pan on the stove over medium heat. Bring to a bubble and cook 12-15 minutes, until the pectin has dissolved and you have a very smooth, syrupy liquid that is starting to look jam like.', '3. Pour the mixture into the gummy bear molds or into a 9x9 parchment-lined baking dish. Refrigerate for 2 hours until completely set.', '4. Pop the gummy bears out of the molds (or cut into small squares). Place the sugar in a bowl and toss the gummy bears in the sugar. Store in an airtight container in the refrigerator for up to 2 weeks.']",4 kcal,40,https://www.halfbakedharvest.com/wp-content/uploads/2024/03/Homemade-5-Ingredient-Sour-Fruit-Gummies-1.jpg,dessert
Iced Raspberry Honey Sweet Rolls,{'minutes': '30'},{'minutes': '20'},"{'hours': '2', 'minutes': '10'}","['warm milk', 'active dry yeast', 'honey', 'salted butter, at room temperature', 'large eggs', 'all-purpose flour', 'salt', 'raspberry jam', 'fresh raspberries, torn', 'freeze-dried raspberries', 'granulated sugar', 'cream cheese, at room temperature', 'honey', 'powdered sugar', 'hot milk', 'vanilla extract']","{'warm milk': '1', 'active dry yeast': '2 1/4', 'honey': '3', 'salted butter, at room temperature': '6', 'large eggs': '3', 'all-purpose flour': '4', 'salt': '1/2', 'raspberry jam': '1', 'fresh raspberries, torn': '1/3', 'freeze-dried raspberries': '1', 'granulated sugar': '1/2', 'cream cheese, at room temperature': '2', 'powdered sugar': '2', 'hot milk': '1/4', 'vanilla extract': '1'}","['1. In the bowl of a stand mixer fitted with the dough hook, combine the milk, yeast, and honey. Let sit 5-10 minutes, until bubbly on top. Add the butter, eggs, flour, and salt. Knead until the dough forms a smooth ball, about 4 minutes.', '2. Cover the bowl and let sit at room temperature for 1 hour or until doubled in size.', '3. Preheat the oven to 350° F. Line 2 baking sheets with parchment paper.', ""4. Lightly dust your work surface with flour. Turn out the dough and roll it into a rectangle about 18 x 20 inches (1/4 inch thick), it's going to be big. Spread the jam evenly over the dough, you may not need to use all the jam.\xa0Sprinkle over the raspberries, if using. Cut into 18-20 strips, then roll/coil up like a cinnamon roll. Place on the prepared baking sheets."", '5. Cover and let rise for 20 minutes. Bake the rolls for 15-20 minutes, until lightly golden.', '6. In a blender/food processor, process the freeze-dried raspberries into a fine powder. Reserve 3 tablespoons for the glaze. Mix the sugar into the remaining powder.', '7. To make the glaze, mix the cream cheese, honey, powdered sugar, milk, and vanilla in a bowl with 2-3 tablespoons of the reserved raspberry powder. Add additional milk to thin, as needed. Dip or drizzle the rolls in the glaze. Sprinkle with raspberry sugar. Enjoy!']",265 kcal,20,https://www.halfbakedharvest.com/wp-content/uploads/2024/02/Glazed-Raspberry-Honey-Sweet-Rolls-1.jpg,dessert
Honey Buckwheat Chocolate Chunk Banana Bread,{'minutes': '10'},{'minutes': '55'},"{'hours': '1', 'minutes': '5'}","['over-ripe bananas, mashed (about 1 1/4 cups mashed)', 'melted coconut oil, butter, or ghee', 'honey', 'large eggs', 'vanilla extract', 'white whole wheat flour', 'buckwheat flour', 'baking soda', 'ground cinnamon', 'sea salt', 'semi-sweet or dark chocolate chunks', 'chopped walnuts']","{'over-ripe bananas, mashed (about 1 1/4 cups mashed)': '4', 'melted coconut oil, butter, or ghee': '1/4', 'honey': '1/4', 'large eggs': '2', 'vanilla extract': '2', 'white whole wheat flour': '1', 'buckwheat flour': '1/2', 'baking soda': '1 1/2', 'ground cinnamon': '1', 'sea salt': '1/2', 'semi-sweet or dark chocolate chunks': '1', 'chopped walnuts': '1/2'}","['1. Preheat the oven to 350° F. Grease a 9×5 inch bread pan.', '2. In a bowl, stir together the mashed bananas, melted oil/butter/ghee, honey, eggs, and vanilla until combined. Add the flour, buckwheat flour, baking soda, cinnamon (if using), and salt. Mix until just combined. Fold in the chocolate chunks and walnuts (if using).', '3. Pour the batter into the prepared pan. Bake for 50-60 minutes or until the center is just set. Remove and let cool, or slice and eat warm – YUM! This is even yummier with salted butter melted into the bread.']",3304 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2024/01/Honey-Buckwheat-Chocolate-Chunk-Banana-Bread-1.jpg,dessert
Chocolate Dipped Sesame Oatmeal Bars,{'minutes': '15'},{'minutes': '20'},{'minutes': '45'},"['old-fashioned oats', 'sesame seeds', 'brown rice crisps cereal', 'almond flour', 'ground flax seeds', 'baking soda', 'honey', 'melted coconut oil', 'vanilla extract', 'dark chocolate, melted', 'toasted sesame seeds, for topping']","{'old-fashioned oats': '1 1/2', 'sesame seeds': '1/2', 'brown rice crisps cereal': '1/2', 'almond flour': '1/4', 'ground flax seeds': '3', 'baking soda': '1/4', 'honey': '1/2', 'melted coconut oil': '2', 'vanilla extract': '2', 'dark chocolate, melted': '12', 'toasted sesame seeds, for topping': '2'}","['1. Preheat oven to 350° F.\xa0Line an 8×8 inch square pan with parchment paper.', '2. In a bowl, mix the oats, sesame seeds, brown rice crisps, almond flour, ground flax seed, and baking soda.', '3. Warm the honey and coconut oil together in the microwave, then pour over the oats. Add the vanilla and mix well. Press the dough into the prepared pan. I like to use the back of a measuring cup to firmly pack the dough into the pan.', '4. Bake for 20 to 25 minutes, until golden on top. Let cool for 10-15 minutes, then cut into bars. Cool completely before dipping.', '5. Cover/dip each bar in chocolate and sprinkle with toasted sesame seeds. Freeze for 10 minutes to set the chocolate. Eat or store in the fridge.']",250 kcal,16,https://www.halfbakedharvest.com/wp-content/uploads/2024/01/Chocolate-Dipped-Sesame-Oatmeal-Bars-1.jpg,dessert
-,-,-,-,-,-,-,-,-,https://www.halfbakedharvest.com/wp-content/uploads/2023/12/2023-Christmas-Cookie-Box-1.jpg,dessert
