title,prep_time,cook_time,total_time,ingredients,ingredients with measurement,instructions,calories,servings,images
Tomato Cheese Pie,{'minutes': '15'},{'minutes': '45'},{'hours': '1'},"['heirloom tomatoes, sliced', 'salt and black pepper', 'pie crust round', 'fig preserves/jam', 'cubed spicy cheddar cheese', 'cubed gouda, gruyere, fontina, or a mix', 'chopped fresh thyme', 'garlic, chopped', 'chili flakes', 'fresh basil, for serving']","{'heirloom tomatoes, sliced': '2-3', 'salt and black pepper': 'seasoning', 'pie crust round': '1', 'fig preserves/jam': '2', 'cubed spicy cheddar cheese': '2', 'cubed gouda, gruyere, fontina, or a mix': '1', 'chopped fresh thyme': '2', 'garlic, chopped': '6-8', 'chili flakes': 'seasoning', 'fresh basil, for serving': 'seasoning'}","['1. Preheat the oven to 400 degrees F. Line a baking sheet with parchment paper.', '2. Arrange the tomatoes on a cutting board and sprinkle with salt. Let sit for 15 minutes to draw out excess moisture. Then, blot them dry.', '3. In a bowl, mix the thyme, garlic, and chili flakes.', '4. Lay the pie crust on the prepared baking sheet and prick all over with a fork. Spread the fig preserves over the dough, leaving a 1/4-inch border. Top with half of the cheese cubes, then sprinkle with half of the garlic mix. Layer on half of the tomatoes. Top with the remaining cheese and then the tomatoes and garlic. Fold the edge of the dough over the tomatoes.', '5. Bake for 45 minutes or until the pastry is golden and the cheese melted. Serve with lots of fresh basil and sea salt.']",456 kcal,6,https://www.halfbakedharvest.com/wp-content/uploads/2024/08/Tomato-Cheese-Pie-1-scaled.jpg
Fried Goat Cheese Balls with Spicy Sage Honey,{'minutes': '30'},{'minutes': '5'},{'minutes': '35'},"['all-purpose flour', 'black pepper', 'Panko breadcrumbs', 'sesame seeds', 'large egg, beaten', 'goat cheese', 'avocado, oil for frying', 'honey', 'garlic, grated', 'hot sauce', 'fresh sage leaves', 'sea salt']","{'all-purpose flour': '1/3', 'black pepper': 'seasoning', 'Panko breadcrumbs': '1', 'sesame seeds': '1/3', 'large egg, beaten': '1', 'goat cheese': '1', 'avocado, oil for frying': 'seasoning', 'honey': '1/2', 'garlic, grated': '1', 'hot sauce': '2-3', 'fresh sage leaves': '1/4', 'sea salt': 'seasoning'}","['1. Add the flour and a pinch of pepper to a bowl.\xa0Add the egg to a separate bowl. Mix the Panko and sesame seeds in a 3rd bowl.', '2. Line a plate with parchment paper.', '3. Roll the goat cheese into 20-24 balls (about 1 tablespoon each). Roll each ball in flour, tossing to coat. Dip through the egg, and then dredge through the Panko, tossing to coat. Place each ball on the prepared plate. Freeze for 20 minutes or overnight.', '4. Meanwhile, make the sage honey. Warm the honey, garlic, hot sauce, and sage in a sauce pot.', '5. Heat 1-2 inches of oil in a skillet over medium-high heat. Fry the goat cheese balls in batches for 1 to 2 minutes or until golden and crisp on all sides. Remove and drain onto a paper towel lined plate.', '6. Arrange the balls on a serving plate and drizzle with sage honey. Sprinkle with sea salt. Enjoy, enjoy!']",129 kcal,10,https://www.halfbakedharvest.com/wp-content/uploads/2023/12/Fried-Goat-Cheese-with-Spicy-Sage-Honey-1.jpg
Beef Tenderloin Crostini with Parmesan Wine Cream Sauce,{'minutes': '15'},{'minutes': '30'},{'minutes': '45'},"['beef tenderloin, trimmed and tied', 'black peppercorns, crushed', 'sea salt', 'salted butter', 'garlic, lightly smashed', 'fresh rosemary', 'fresh thyme', 'fresh sage leaves', 'baguette, sliced, and toasted', 'goat cheese', 'honey', 'dry white wine', 'salted butter', 'heavy cream or whole milk', 'grated parmesan']","{'beef tenderloin, trimmed and tied': '1', 'black peppercorns, crushed': '2', 'sea salt': 'seasoning', 'salted butter': '2', 'garlic, lightly smashed': '8', 'fresh rosemary': '2', 'fresh thyme': '4', 'fresh sage leaves': '8', 'baguette, sliced, and toasted': '1', 'goat cheese': '6', 'honey': '1-2', 'dry white wine': '1/2', 'heavy cream or whole milk': '2', 'grated parmesan': '1/2'}","['1. Allow the beef to come to room temperature for at least 1 hour. Preheat the oven to 500 degrees F.', '2. In a cast iron skillet, season the beef generously with peppercorns and sea salt. Arrange the butter slices on top of the tenderloin, then arrange the garlic, rosemary, thyme, and sage around the beef. Roast for 20 minutes for medium rare (120° to 125° F). Remove the beef from the skillet, tent with foil and let rest 10 minutes before slicing.', '3. Meanwhile, make the cream sauce. Place the same skillet used to roast the beef over high heat. Add the wine and scrape up any browned bits off the pan. Simmer for 3-5 minutes or until the wine has reduced. Add the butter and continue cooking for another 2 minutes. Slowly pour in the cream and bring the sauce to a boil. Reduce the heat to low and simmer 5 minutes, or until the sauce has thickened slightly.', '4. Squeeze the roasted garlic cloves out of the skin and mash into a paste. Stir the garlic into the sauce. Add the parmesan. Remove from the heat. Season with salt and pepper.', '5. Whip the goat cheese, honey, and a pinch of salt in a bowl or food processor.', '6. Slice the beef. Spread each baguette slice with goat cheese. Top with a slice of steak. To serve, drizzle over the warm cream sauce and fresh herbs.']",209 kcal,16,https://www.halfbakedharvest.com/wp-content/uploads/2023/12/Beef-Tenderloin-Crostini-with-Parmesan-Wine-Cream-Sauce-1.jpg
Baked Garlic Parmesan Buffalo Chicken Wings,{'minutes': '15'},{'minutes': '40'},{'minutes': '55'},"['chicken wings or drumsticks', 'smoked paprika', 'onion powder', 'garlic powder', 'kosher salt and black pepper', 'flour or all-purpose gluten-free flour', 'garlic', 'extra virgin olive oil', 'hot sauce', 'salted butter', 'seasoned salt', 'cayenne pepper', 'grated parmesan cheese', 'blue cheese or ranch dressing, for serving', 'sliced green onions, for serving']","{'chicken wings or drumsticks': '2', 'smoked paprika': '1', 'onion powder': '1', 'garlic powder': '1', 'kosher salt and black pepper': 'seasoning', 'flour or all-purpose gluten-free flour': '1/4', 'garlic': '6-8', 'extra virgin olive oil': '4', 'hot sauce': '1/2', 'salted butter': '6', 'seasoned salt': '1-2', 'cayenne pepper': '1/2', 'grated parmesan cheese': '1/2', 'blue cheese or ranch dressing, for serving': 'seasoning', 'sliced green onions, for serving': 'seasoning'}","['1. Preheat the oven to 450° F. Line a baking sheet with parchment paper or rub with oil.', '2. On the sheet pan, toss together the chicken wings, paprika, onion powder, garlic powder, salt, and pepper. Add the flour and toss again. Add 2 tablespoons olive oil, tossing to coat. Drop the garlic cloves around the chicken. Bake for 20 minutes then pull the garlic off the pan. Flip the the wings, then return to the oven and bake another 15-20 minutes, until the chicken is crispy and cooked through. My wings needed 30 minutes.', '3. Meanwhile, make the sauce. Remove the garlic skin and chop/mash the roasted cloves into a paste. In a saucepan set over medium heat, melt together the hot sauce, butter, seasoned salt, and cayenne. Stir until melted and combined. Remove from the heat and mix in the garlic.', '4. Remove the chicken from the oven and toss with parmesan. Then pour the buffalo sauce over the chicken and toss the chicken wings up in the sauce. Bake another 5 minutes, until the buffalo sauce is baked onto the chicken.', '5. Serve the chicken and buffalo sauce with green onions and blue cheese or ranch dressing. YUM!']",423 kcal,6,https://www.halfbakedharvest.com/wp-content/uploads/2023/09/Easy-Garlic-Parmesan-Buffalo-Chicken-Wings-1.jpg
Honey Butter Jalapeño Cheddar Cornbread Biscuits,{'minutes': '20'},{'minutes': '15'},{'minutes': '35'},"['cold, salted butter', 'white whole wheat or all-purpose flour', 'cornmeal', 'baking powder', 'kosher salt', 'black pepper', 'cold, salted butter, shredded', 'jalapeños, seeded, if desired, and chopped', 'shredded cheddar cheese', 'buttermilk', 'egg', 'honey', 'salted butter, at room temperature', 'honey', 'flaky sea salt']","{'cold, salted butter': '6', 'white whole wheat or all-purpose flour': '1 1/2', 'cornmeal': '1 1/2', 'baking powder': '1', 'kosher salt': '1', 'black pepper': '1/2', 'cold, salted butter, shredded': '6', 'jalapeños, seeded, if desired, and chopped': '2', 'shredded cheddar cheese': '1/2', 'buttermilk': '1', 'egg': '1', 'honey': '3', 'salted butter, at room temperature': '6', 'flaky sea salt': 'seasoning'}","['1. Preheat the oven to 350° F. Butter a 24-cup mini muffin pan or 12-cup regular pan.', '2. Add 6 tablespoons cold butter to a skillet set over medium heat. Cook until the butter begins to brown, about 3-4 minutes. Let cool.', '3. In a large bowl, stir together the flour, cornmeal, baking powder, salt, and pepper. Add 6 tablespoons of cold shredded butter and mix to combine. Mix in the jalapeños and cheese. Pour the brown butter over the buttermilk. Add the egg and honey. Mix until just combined, adding additional buttermilk as needed.', '4. Divide the batter evenly among the prepared pan. Bake 12 – 16 minutes for mini muffins or 22-30 for regular muffins.', '5. To make the honey butter. Combine the butter, honey, and a pinch of salt together in a small bowl.', '6. Remove the biscuit muffins from the oven, then run a knife around the edges to release them. Brush/smear with honey butter. Enjoy warm.']",144 kcal,24,https://www.halfbakedharvest.com/wp-content/uploads/2023/06/Honey-Butter-Jalapeno-Cheddar-Cornbread-Biscuits-1.jpg
Baked Artichokes with Honey Whipped Feta,{'minutes': '15'},{'minutes': '20'},{'minutes': '35'},"['Panko bread crumbs', 'sesame seeds', 'smoked or regular paprika', 'dried thyme, oregano, rosemary, or a mix', 'garlic powder', 'onion powder', 'lemon juice', 'kosher salt and black pepper', 'extra virgin olive oil', 'artichokes hearts in water, halved or quartered', 'feta cheese', 'cream cheese, at room temperature', 'lemon juice', 'honey', 'garlic, grated', 'cayenne or chili flakes']","{'Panko bread crumbs': '1 1/2', 'sesame seeds': '2', 'smoked or regular paprika': '1', 'dried thyme, oregano, rosemary, or a mix': '1', 'garlic powder': '1/2', 'onion powder': '1/2', 'lemon juice': '2', 'kosher salt and black pepper': 'seasoning', 'extra virgin olive oil': '1/3', 'artichokes hearts in water, halved or quartered': '2', 'feta cheese': '1', 'cream cheese, at room temperature': '3', 'honey': '2-3', 'garlic, grated': '1', 'cayenne or chili flakes': 'seasoning'}","['1. Preheat the oven to 425° F. Line a baking sheet with parchment paper.', '2. Add the Panko bread crumbs, sesame seeds, paprika, dried herbs, onion powder, garlic powder, salt, and pepper to a shallow bowl. Pour the olive oil into a separate bowl. Add the artichokes and toss well to coat.', '3. Dredge the artichokes through the crumbs, covering fully. Place on the prepared baking sheet. Drizzle with olive oil. Bake for 15 minutes, then flip and bake another 10-15 minutes, until crisp all around.', '4. Meanwhile, whip the feta. Combine all ingredients in a food processor and pulse until smooth and creamy. Add cayenne to taste. The feta can be kept in the fridge for up to 3 days.', '5. Serve the baked artichokes with the feta for dipping or drizzle over top. ENJOY!']",196 kcal,8,https://www.halfbakedharvest.com/wp-content/uploads/2023/02/Baked-Artichokes-with-Honey-Whipped-Feta-1.jpg
Hot Chicken Enchilada Bean Dip,{'minutes': '15'},{'minutes': '30'},{'minutes': '45'},"['extra virgin olive oil', 'yellow onion, chopped', 'poblano pepper, seeded and chopped', 'kosher salt and black pepper', 'cream cheese at room temperature', 'sour cream', 'pinto or black beans drained', 'smoked paprika', 'garlic powder', 'red enchilada sauce', 'salsa verde', 'cooked shredded chicken', 'shredded Mexican cheese blend', 'cilantro, green onions, avocado, and pickled jalapeño, for serving']","{'extra virgin olive oil': '2', 'yellow onion, chopped': '1', 'poblano pepper, seeded and chopped': '1', 'kosher salt and black pepper': 'seasoning', 'cream cheese at room temperature': '8', 'sour cream': '1', 'pinto or black beans drained': '1', 'smoked paprika': '1', 'garlic powder': '1', 'red enchilada sauce': '1 1/2', 'salsa verde': '1/2', 'cooked shredded chicken': '1-2', 'shredded Mexican cheese blend': '2', 'cilantro, green onions, avocado, and pickled jalapeño, for serving': '1/2'}","['1. Preheat the oven 400° F.', '2. Heat the olive oil in an oven-safe skillet over medium heat. Add the onion and cook until fragrant, about 5 minutes. Stir in the poblano peppers and a pinch each of salt and pepper. Cook 5 minutes, until fragrant.', '3. Remove from the heat. Mix in the cream cheese, sour cream, beans, paprika, garlic powder, enchilada sauce, salsa verde, and chicken until combined. Scatter the cheese over the dish.', '4. Bake 15-20 minutes, until the cheese is melted and bubbly. Top, as desired with cilantro, onions, and pickled jalapeño. Serve with tortilla chips or flour tortillas.']",280 kcal,10,https://www.halfbakedharvest.com/wp-content/uploads/2022/12/Hot-Chicken-Enchilada-Bean-Dip-1.jpg
Bacon Wrapped Cheddar Corn Jalapeño Poppers with Cilantro Lime Ranch.,{'minutes': '15'},{'minutes': '25'},{'minutes': '40'},"['cream cheese, at room temperature', 'shredded sharp cheddar cheese', 'shredded pepper jack cheese', 'corn, kernels removed from the cob', 'fresh cilantro, chopped', 'chopped fresh chives', 'garlic, minced or grated', 'kosher salt and black pepper', 'jalapeños, halved', 'thin-cut bacon', 'sour cream or plain Greek yogurt', 'fresh cilantro, chopped', 'chopped fresh chives', 'garlic powder', 'onion powder', 'kosher salt', 'juice from 1 lime']","{'cream cheese, at room temperature': '4', 'shredded sharp cheddar cheese': '1', 'shredded pepper jack cheese': '1/2', 'corn, kernels removed from the cob': '2', 'fresh cilantro, chopped': '1/2', 'chopped fresh chives': '2', 'garlic, minced or grated': '1-2', 'kosher salt and black pepper': 'seasoning', 'jalapeños, halved': '12', 'thin-cut bacon': '6', 'sour cream or plain Greek yogurt': '1/2', 'garlic powder': '1/2', 'onion powder': '1/2', 'kosher salt': '1/2', 'juice from 1 lime': 'seasoning'}","['1. Preheat the oven to 425 degrees F. Line a baking sheet with parchment paper.', '2. In a bowl, combine the cream cheese, cheddar, pepper jack, corn, cilantro, chives, garlic, and a pinch each of salt and pepper.', '3. Halve the jalapeños, then scoop out the seeds. Stuff each half with the cheesy corn mix, then wrap with 1 half slice of bacon. Place the jalapeños on the prepared baking sheet. Bake 20-25 minutes, until the cheese has melted. At the end of cooking, switch the oven to broil, broil for 1-2 minutes to crisp the bacon.', '4. Meanwhile, make the ranch. Combine all ingredients in a glass jar and shake or stir until creamy.', '5. Serve the poppers warm with cilantro lime ranch for dipping. Enjoy!']",205 kcal,8,https://www.halfbakedharvest.com/wp-content/uploads/2020/08/Bacon-Wrapped-Cheddar-Corn-Jalapeño-Poppers-1-700x1050.jpg
Mac and Cheese Stuffed Oven Fried Zucchini Bites,{'minutes': '30'},{'minutes': '30'},{'hours': '2'},"['elbow pasta', 'salted butter', 'all-purpose flour', 'whole milk', 'shredded sharp cheddar cheese', 'shredded fontina cheese', 'shredded havarti cheese', 'mustard powder', 'cayenne pepper', 'kosher salt and black pepper', 'panko bread crumbs', 'grated parmesan cheese', 'paprika', 'large eggs, beaten', 'medium zucchini, cut into 1/4 inch rounds', 'extra virgin olive oil, for drizzling']","{'elbow pasta': '1/2', 'salted butter': '2', 'all-purpose flour': '4', 'whole milk': '1 1/2', 'shredded sharp cheddar cheese': '1 1/4', 'shredded fontina cheese': '1/2', 'shredded havarti cheese': '1/2', 'mustard powder': '1/4', 'cayenne pepper': '1/4', 'kosher salt and black pepper': 'seasoning', 'panko bread crumbs': '1 1/2', 'grated parmesan cheese': '1', 'paprika': '1/2', 'large eggs, beaten': '3', 'medium zucchini, cut into 1/4 inch rounds': '2-3', 'extra virgin olive oil, for drizzling': 'seasoning'}","['1. In a large saucepan, melt the butter over medium heat. Whisk in 2 tablespoons flour. Reduce the heat to medium-low and cook for 1 minute, stirring to avoid burning—it will bubble. Gradually whisk in the milk and 1 cup of water, then stir in the macaroni. Increase the heat to medium-high and bring the mixture to a boil. Stir frequently until the macaroni is just al dente, 8 to 10 minutes. If the sauce thicken too quickly, add 1/2 additional water.', '2. When the macaroni is al dente, remove the pan from the heat and stir in the cheddar, fontina, Havarti, mustard, and cayenne. Season with salt and pepper. Stir until the cheeses have fully melted. Let cool. Transfer to the fridge to chill 2 hours or place in the freezer 30-45 minutes, until cold.', '3. Preheat the oven to 425 degrees F. Line 2 baking sheets with parchment paper.', '4. Place the panko, parmesan, 2 tablespoons flour, and the paprika in a shallow bowl. Add the eggs to a separate bowl. Scoop out 1 tablespoon of mac and cheese and pack it into a ball. Sandwich the mac and cheese between 2 zucchini slices, secure with 2 toothpicks.', '5. Dredge the stuffed zucchini bites through the egg, and then through the panko mix, tossing to coat entirely. Place onto the prepared baking sheet. Repeat until all the bites are breaded. Make sure not to crowd your pans.', ""6. Brush/drizzling the bites with olive oil. Transfer to the oven and bake for 15-20 minutes or until golden and crisp. Some of the bite may break in half, it's OK, they will still be delicious. Serve while hot with your favorite dipping sauces and or fresh herbs.""]",98 kcal,40,https://www.halfbakedharvest.com/wp-content/uploads/2020/06/Mac-and-Cheese-Stuffed-Oven-Fried-Zucchini-Bites-1-700x1050.jpg
Pan Fried Brie with Peppered Honey and Olives,{'minutes': '15'},{'minutes': '15'},{'minutes': '30'},"['honey', 'black pepper', 'Brie wheel', 'egg, beaten', 'Panko bread crumbs', 'extra virgin olive oil', 'mixed olives, pitted', 'thinly sliced lemon zest', 'crushed red pepper flakes', 'drained capers', 'fresh thyme leaves, plus more for serving', 'crackers and/or bread, for serving']","{'honey': '1/4', 'black pepper': '1/2-1', 'Brie wheel': '1', 'egg, beaten': '1', 'Panko bread crumbs': '1/2', 'extra virgin olive oil': '1/2', 'mixed olives, pitted': '2', 'thinly sliced lemon zest': '2', 'crushed red pepper flakes': '1', 'drained capers': '2', 'fresh thyme leaves, plus more for serving': '1', 'crackers and/or bread, for serving': 'seasoning'}","['1. To make the honey. Combine all ingredients in a glass jar.', '2. To make the Brie. Whisk the egg in a shallow bowl. Add the Panko to a separate shallow bowl. Dip the Brie through the egg, turning to coat on all sides, remove and allow any excess to drip off. Dredge the Brie through the Panko, turning to coat and pressing gently to adhere.\xa0Transfer the Brie to the freezer, freeze 15-20 minutes.', '3. Meanwhile, heat 1/4 cup of olive oil, the olives, and crushed red pepper flakes together in a medium skillet set over medium heat. Simmer 5 minutes, until lightly fried. Add the lemon zest, capers, and thyme, and cook another 5 minutes, until the lemon is fried. Remove from the skillet to a serving bowl.', ""4. To the same skillet add the remaining 1/4 cup olive oil. Remove the Brie from the freezer and place in the skillet. Cook for 2 to 3 minutes per side, until golden brown. If your Brie punctures, don't stress, just keep cooking. Carefully transfer the Brie to a serving plate."", '5. Serve the Brie warm, topped with fried olives and honey. Enjoy with crackers or bread.']",381 kcal,6,https://www.halfbakedharvest.com/wp-content/uploads/2020/05/Pan-Fried-Brie-with-Peppered-Honey-and-Olives-1-700x1050.jpg
