title,prep_time,cook_time,total_time,ingredients,ingredients with measurement,instructions,calories,servings,images
Cookie Dough Ice Cream Bites,{'minutes': '30'},-,"{'hours': '4', 'minutes': '30'}","['almond flour', 'cashew butter', 'honey', 'salted butter, at room temperature', 'vanilla extract', 'mini chocolate chips', 'vanilla ice cream', 'dark or semi-sweet chocolate chips', 'coconut oil', 'sea salt']","{'almond flour': '1 1/2', 'cashew butter': '1/2', 'honey': '1/4', 'salted butter, at room temperature': '3', 'vanilla extract': '1', 'mini chocolate chips': '1/3', 'vanilla ice cream': '2', 'dark or semi-sweet chocolate chips': '12', 'coconut oil': '1', 'sea salt': 'seasoning'}","['1. To make the cookie dough. Mix all ingredients except the chocolate chips in a bowl or in a food processor. Mix in the chocolate chips.', '2. To make the bites. Line a 9×9-inch square pan with parchment paper.', '3. Press the cookie dough into the bottom of the prepared pan. Freeze for 10 minutes. Spread the ice cream over the cookie dough in an even layer. Cover and freeze for 4 hours or preferably overnight.', '4. Line a baking sheet with parchment paper. Remove the slab of ice cream from the freezer, cut into small squares (32-48 squares), and arrange them on the prepared baking sheet. Freeze until firm, at least 30 minutes.', '5. In a microwave-safe bowl, melt together the chocolate and coconut oil. Dip each bite in chocolate. Sprinkle with sea salt (if desired). Freeze until completely frozen, 2 hours. Eat and enjoy the sweet, creamy goodness.']",138 kcal,48,https://www.halfbakedharvest.com/wp-content/uploads/2024/05/Cookie-Dough-Ice-Cream-Bites.-1-scaled.jpg
-,-,-,-,-,-,-,-,-,https://www.halfbakedharvest.com/wp-content/uploads/2023/04/Salty-Pretzel-Banana-Pudding-Ice-Cream-Cake-Cake-1.jpg
White Chocolate Raspberry Swirled Pistachio Cookies,{'minutes': '35'},{'minutes': '10'},{'minutes': '45'},"['freeze-dried raspberries', 'pistachios, shelled and salted', 'salted butter, at room temperature', 'granulated sugar', 'egg', 'vanilla extract', 'all-purpose flour', 'baking soda', 'kosher salt', 'raspberry jam', 'matcha powder', 'white chocolate, melted']","{'freeze-dried raspberries': '1', 'pistachios, shelled and salted': '1/2', 'salted butter, at room temperature': '2', 'granulated sugar': '1', 'egg': '1', 'vanilla extract': '2', 'all-purpose flour': '2', 'baking soda': '1', 'kosher salt': '1/2', 'raspberry jam': '2', 'matcha powder': '1', 'white chocolate, melted': '8'}","['1. In a blender or food processor, process the freeze-dried raspberries into a fine powder. Wipe the food processor clean, then process the pistachios until very finely chopped/ground.', '2. Preheat the oven to 350° F. Line a baking sheet with parchment paper.', '3. In a large bowl, beat together the butter, granulated sugar, and vanilla until combined. Beat in the egg. Add the flour, baking soda, and salt. Divide the dough in half, leaving one half of the dough in the mixing bowl. Set the other half of the dough aside.', '4. To the dough in the mixing bowl, beat in 1/4 cup finely chopped/ground pistachios, and if using, the matcha powder, beating until combined. Roll the dough into tablespoon-size balls and set aside.', '5. Return the remaining ball of dough to the mixing bowl. Beat in 1/4 cup raspberry powder and the raspberry jam, beating until combined. Roll the dough into rounded tablespoon-sized balls.', '6. Push the two dough balls together, creating one ball (see photos) about two tablespoons in size. Place 2 inches apart on the prepared baking sheet. Bake for 9-10 minutes or until the cookies are just beginning to set on the edges. Remove from the oven and let the cookies cool on the baking sheet. They will continue to cook slightly as they sit on the baking sheet.', '7. Dip/drizzle each cookie in melted white chocolate, then sprinkle with crushed dried raspberries. Let set or enjoy! Store in an airtight container for up to 5 days.']",184 kcal,20,https://www.halfbakedharvest.com/wp-content/uploads/2024/02/White-Chocolate-Raspberry-Swirled-Pistachio-Cookies-1.jpg
Iced Grapefruit Yogurt Cake,{'minutes': '20'},{'hours': '1'},"{'hours': '1', 'minutes': '20'}","['superfine almond flour (see notes)', 'baking powder', 'baking soda', 'salt', 'large eggs, at room temperature', 'honey or maple syrup', 'plain greek yogurt', 'grapefruit zest', 'vanilla extract', 'melted coconut oil', 'powdered sugar', 'grapefruit juice plus 1 tablespoon zest', 'crystallized ginger, thinly sliced or chopped']","{'superfine almond flour (see notes)': '2 1/4', 'baking powder': '2', 'baking soda': '1/2', 'salt': '1/2', 'large eggs, at room temperature': '3', 'honey or maple syrup': '1/2', 'plain greek yogurt': '1/2', 'grapefruit zest': '2', 'vanilla extract': '1', 'melted coconut oil': '1/4', 'powdered sugar': '1 1/2-2', 'grapefruit juice plus 1 tablespoon zest': '1/4', 'crystallized ginger, thinly sliced or chopped': '1/4'}","['1. Preheat the oven to 350° F. Line a (9×5 inch) loaf pan with parchment.', '2. In a bowl, combine the almond flour, baking powder, baking soda, and salt. Add the honey/maple, yogurt, eggs, grapefruit zest, vanilla, and melted coconut oil. Mix well until thoroughly combined, and no lumps remain.', '3. Pour the batter into the prepared pan. Bake for 50-60 minutes, or until the center is just set. If the cake is browning cover with tin foil to finish baking. Let cool completely before frosting. My cake does sink a little after baking, this is OK if this is happening.', '4. Meanwhile, make the glaze. In a bowl, whisk together the powdered sugar and grapefruit juice. Stir in the zest and ginger. Pour the glaze over the cooled loaf. Let set for 1 hour (or so), slice, and eat']",409 kcal,8,https://www.halfbakedharvest.com/wp-content/uploads/2024/01/Iced-Grapefruit-Yogurt-Cake-1.jpg
Honey Buckwheat Chocolate Chunk Banana Bread,{'minutes': '10'},{'minutes': '55'},"{'hours': '1', 'minutes': '5'}","['over-ripe bananas, mashed (about 1 1/4 cups mashed)', 'melted coconut oil, butter, or ghee', 'honey', 'large eggs', 'vanilla extract', 'white whole wheat flour', 'buckwheat flour', 'baking soda', 'ground cinnamon', 'sea salt', 'semi-sweet or dark chocolate chunks', 'chopped walnuts']","{'over-ripe bananas, mashed (about 1 1/4 cups mashed)': '4', 'melted coconut oil, butter, or ghee': '1/4', 'honey': '1/4', 'large eggs': '2', 'vanilla extract': '2', 'white whole wheat flour': '1', 'buckwheat flour': '1/2', 'baking soda': '1 1/2', 'ground cinnamon': '1', 'sea salt': '1/2', 'semi-sweet or dark chocolate chunks': '1', 'chopped walnuts': '1/2'}","['1. Preheat the oven to 350° F. Grease a 9×5 inch bread pan.', '2. In a bowl, stir together the mashed bananas, melted oil/butter/ghee, honey, eggs, and vanilla until combined. Add the flour, buckwheat flour, baking soda, cinnamon (if using), and salt. Mix until just combined. Fold in the chocolate chunks and walnuts (if using).', '3. Pour the batter into the prepared pan. Bake for 50-60 minutes or until the center is just set. Remove and let cool, or slice and eat warm – YUM! This is even yummier with salted butter melted into the bread.']",3304 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2024/01/Honey-Buckwheat-Chocolate-Chunk-Banana-Bread-1.jpg
Chocolate Dipped Sesame Oatmeal Bars,{'minutes': '15'},{'minutes': '20'},{'minutes': '45'},"['old-fashioned oats', 'sesame seeds', 'brown rice crisps cereal', 'almond flour', 'ground flax seeds', 'baking soda', 'honey', 'melted coconut oil', 'vanilla extract', 'dark chocolate, melted', 'toasted sesame seeds, for topping']","{'old-fashioned oats': '1 1/2', 'sesame seeds': '1/2', 'brown rice crisps cereal': '1/2', 'almond flour': '1/4', 'ground flax seeds': '3', 'baking soda': '1/4', 'honey': '1/2', 'melted coconut oil': '2', 'vanilla extract': '2', 'dark chocolate, melted': '12', 'toasted sesame seeds, for topping': '2'}","['1. Preheat oven to 350° F.\xa0Line an 8×8 inch square pan with parchment paper.', '2. In a bowl, mix the oats, sesame seeds, brown rice crisps, almond flour, ground flax seed, and baking soda.', '3. Warm the honey and coconut oil together in the microwave, then pour over the oats. Add the vanilla and mix well. Press the dough into the prepared pan. I like to use the back of a measuring cup to firmly pack the dough into the pan.', '4. Bake for 20 to 25 minutes, until golden on top. Let cool for 10-15 minutes, then cut into bars. Cool completely before dipping.', '5. Cover/dip each bar in chocolate and sprinkle with toasted sesame seeds. Freeze for 10 minutes to set the chocolate. Eat or store in the fridge.']",250 kcal,16,https://www.halfbakedharvest.com/wp-content/uploads/2024/01/Chocolate-Dipped-Sesame-Oatmeal-Bars-1.jpg
Easy Decked Out Christmas Tree Cookies,{'minutes': '30'},{'minutes': '10'},"{'hours': '1', 'minutes': '10'}","['salted butter, at room temperature', 'brown sugar', 'vanilla bean powder, or 1 tablespoon vanilla extract', 'egg, at room temperature', 'all-purpose flour, plus an additional 2-4 tablespoons, if needed', 'baking soda', 'kosher salt', 'milk or semi-sweet chocolate, melted', 'white chocolate, melted', 'assorted sprinkles, for decorating']","{'salted butter, at room temperature': '1 1/2', 'brown sugar': '3/4', 'vanilla bean powder, or 1 tablespoon vanilla extract': '1', 'egg, at room temperature': '1', 'all-purpose flour, plus an additional 2-4 tablespoons, if needed': '2', 'baking soda': '1/4', 'kosher salt': '1/2', 'milk or semi-sweet chocolate, melted': '12', 'white chocolate, melted': '4', 'assorted sprinkles, for decorating': 'seasoning'}","['1. In a large mixing bowl, beat together the butter and brown sugar. Add the egg and mix until combined. Beat in the vanilla. Add the flour, baking soda, and salt, beat until combined and the dough forms a ball. If the dough feels too wet to roll out, add 2-4 tablespoons of additional flour.', '2. Preheat the oven to 350° F. Line a baking sheet with parchment paper.', ""3. Divide the dough in half. Roll the dough on a floured piece of parchment paper to 1/4 inch thickness. Make sure you're using enough flour, or your dough will stick. Cut out the shapes using a 2-3 inch Christmas tree or snowflake cookie cutter. Transfer the cookies to a parchment-lined baking sheet. I recommend using a floured spatula to lift the cookies. Roll out the leftover scraps, and repeat with the remaining dough. You should have around 30 cookies."", '4. Using a small (1-inch) tree or snowflake/star cookie cutter, cut a hole into the center of 1/2 of the cookies. These are the “top cookies,” and the ones without a hole are the “bottom cookies"". Cover the baking sheets and place in the freezer until firm, 20 minutes.', '5. Bake the cookies on the middle rack of the oven for 8-12 minutes or until just lightly golden. Let cool.', '6. To assemble, spread the melted chocolate over the bottom cookies. Place the top cookie (the cookies with a hole) over the chocolate, gently pressing to adhere. Drizzle the cookies with melted white chocolate. Decorate as desired with your favorite sprinkles. The cookies can be served immediately, or stored in an airtight container for up to 3 days.']",263 kcal,15,https://www.halfbakedharvest.com/wp-content/uploads/2023/12/Easy-Decked-Out-Christmas-Tree-Cookies-1.jpg
Chewy Christmas Snickerdoodles,{'minutes': '20'},{'minutes': '15'},{'minutes': '35'},"['salted butter, at room temperature', 'light or dark brown sugar', 'large eggs, plus 1 egg yolk', 'vanilla extract', 'all-purpose flour', 'baking soda', 'kosher salt', 'holiday M&M’s', 'mini pretzel sticks crushed', 'semi-sweet chocolate chips', 'dark chocolate chunks', 'granulated sugar', 'cinnamon']","{'salted butter, at room temperature': '2', 'light or dark brown sugar': '3/4', 'large eggs, plus 1 egg yolk': '2', 'vanilla extract': '2', 'all-purpose flour': '2 1/4', 'baking soda': '1', 'kosher salt': '1', 'holiday M&M’s': '1 1/4', 'mini pretzel sticks crushed': '1', 'semi-sweet chocolate chips': '1', 'dark chocolate chunks': '1/3', 'granulated sugar': '1/3', 'cinnamon': '2'}","['1. Add 1 stick of butter to a skillet set over medium heat. Cook until the butter begins to brown, about 3-4 minutes. Remove from the heat and transfer to a heatproof bowl. Freeze for 10-15 minutes, but no longer.', '2. Preheat the oven to 350° F. Line a baking sheet with parchment paper.', '3. In a bowl, beat together the remaining stick of butter, the cooled browned butter, and the brown sugar until combined. Beat in the eggs and 1 egg yolk, one at a time, until combined. Add the vanilla, beating until creamy. Add the flour, baking soda, and salt.', ""4. Fold in 3/4 cup of the M&M's, pretzels, chocolate chips, and chocolate chunks."", '5. Mix the sugar and cinnamon in a bowl. Roll the dough into rounded 2-3 tablespoon-size balls and then roll through the cinnamon sugar. Place 3 inches apart on the prepared baking sheet.', ""6. Bake for 8 minutes, then rotate the pan and push the remaining M&M's into the cookies. Bake for 2-3 minutes more. Remove from the oven and let the cookies cool on the baking sheet. They will continue to cook slightly as they sit on the baking sheet."", '7. Eat warm or let cool and store in an airtight container for up to 4 days.']",250 kcal,20,https://www.halfbakedharvest.com/wp-content/uploads/2023/12/Chewy-Christmas-Snickerdoodles-1-1.jpg
No Fuss Strawberry Cream Pretzel Tart,{'minutes': '15'},{'minutes': '15'},{'hours': '2'},"['mini salted pretzels', 'gingersnap cookies', 'salted butter, melted', 'honey', 'heavy cream', 'lemon zest, plus 1/3 cup lemon juice', 'vanilla extract', 'strawberry or raspberry jam', 'mixed fresh berries']","{'mini salted pretzels': '1', 'gingersnap cookies': '15', 'salted butter, melted': '6', 'honey': '2', 'heavy cream': '3 1/2', 'lemon zest, plus 1/3 cup lemon juice': '2', 'vanilla extract': '2', 'strawberry or raspberry jam': '1', 'mixed fresh berries': '2'}","['1. Preheat the oven to 350° F.', '2. To make the crust. In a food processor, pulse the pretzels and gingersnaps into semi-fine crumbs. Add the butter plus 2 tablespoons honey and pulse until the mixture holds together when pinched and starts to look like dough. Press the dough into an 8 or 9-inch tart pan with a removable bottom to form a flat, even crust. Transfer to the oven and bake until toasted, about 8 minutes.', ""3. Meanwhile, combine the heavy cream, the remaining 1/3 cup honey, and lemon zest in a large pot, bigger than you think you'll need. Set over high heat and bring to a boil. Once boiling, boil 5 minutes and then remove from the heat. Whisk in the lemon juice, vanilla, and a pinch of salt. Let cool 10 minutes."", '4. Carefully pour the lemon cream into the baked crust. Dollop the jam over the cream, then use a knife to very gently swirl the jam through the cream. Cover and chill for 1.5 to 2 hours or until set. Before serving, remove the tart from the pan and top with fresh berries.']",493 kcal,8,https://www.halfbakedharvest.com/wp-content/uploads/2023/06/No-Fuss-Strawberry-Cream-Pretzel-Tart-2.jpg
Blender Cottage Cheese Chocolate Chip Peanut Butter Banana Muffins,{'minutes': '10'},{'minutes': '20'},{'minutes': '30'},"['whole milk cottage cheese', 'medium ripe bananas, mashed', 'creamy peanut butter', 'melted coconut oil', 'pure maple syrup', 'eggs', 'vanilla extract', 'whole wheat pastry flour', 'baking soda', 'kosher salt', 'semi-sweet or dark chocolate chips', 'peanut butter, for serving']","{'whole milk cottage cheese': '1/2', 'medium ripe bananas, mashed': '3', 'creamy peanut butter': '1/2', 'melted coconut oil': '2', 'pure maple syrup': '1/4', 'eggs': '2', 'vanilla extract': '1', 'whole wheat pastry flour': '1 1/2', 'baking soda': '1 1/2', 'kosher salt': '1/2', 'semi-sweet or dark chocolate chips': '1', 'peanut butter, for serving': 'seasoning'}","['1. Preheat the oven to 350° F. Grease 16 muffin tins.', '2. In a blender, blend the cottage cheese until almost whipped, about 1 minute. Add the mashed bananas, peanut butter, coconut oil, maple syrup, eggs, and vanilla. Blend to fully combine. Add the flour, baking soda, and salt, blend again until just combined. Fold in the chocolate chips.', '3. Divide the batter among the prepared muffin tins. Bake for 20-22 minutes, until just set. Serve with peanut butter and sea salt (if desired) on top.']",212 kcal,16,https://www.halfbakedharvest.com/wp-content/uploads/2023/05/Blender-Cottage-Cheese-Chocolate-Chip-Peanut-Butter-Banana-Muffins-2.jpg
