title,prep_time,cook_time,total_time,ingredients,ingredients with measurement,instructions,calories,servings,images
Burnt Marshmallow Brown Sugar Maple Cookie Bars,{'minutes': '15'},{'minutes': '30'},{'minutes': '45'},"['salted butter, at room temperature', 'dark brown sugar', 'maple syrup', 'apple butter', 'egg, at room temperature', 'vanilla extract', 'all-purpose flour', 'baking soda', 'ground cinnamon', 'salt', 'semi-sweet chocolate chips', 'marshmallows', 'flaky sea salt']","{'salted butter, at room temperature': '2', 'dark brown sugar': '1', 'maple syrup': '1/4', 'apple butter': '1/4', 'egg, at room temperature': '1', 'vanilla extract': '2', 'all-purpose flour': '2 1/3', 'baking soda': '1', 'ground cinnamon': '1/2-1', 'salt': '1', 'semi-sweet chocolate chips': '1', 'marshmallows': '1-2', 'flaky sea salt': 'seasoning'}","['1. Add the butter to a skillet set over medium heat, cook until the butter begins to brown, 3-4 minutes. Remove from the heat and transfer to a large bowl. Let sit 10-15 minutes.', '2. Preheat the oven to 350° F. Line a 9x9-inch square baking pan with parchment paper.', '3. To the browned butter, whisk in the brown sugar, maple syrup, apple butter, egg, and vanilla. Add the flour, baking soda, cinnamon, and salt. Fold in chocolate chips.', '4. Press half the dough into the prepared pan. Bake for 10 minutes, then remove from the oven. Switch the oven to broil. Arrange the marshmallows over the pre-baked cookie. Broil for 1-3 minutes until the marshmallows are toasted to your liking. Return the oven to 350° F', ""5. Using your hands, flatten the remaining cookie dough and lay it over the marshmallows, covering them as best you can. It's OK if the cookie dough doesn't cover all the marshmallows. Return the cookies to the oven. Bake another 10 to 15 minutes until the top is set up."", ""6. Let the cookies hang 10 minutes in the pan, then use the parchment paper to lift them out. You can let them chill or cut into them. If they're warm, they will be messier, but so DELISH!""]",372 kcal,16,https://www.halfbakedharvest.com/wp-content/uploads/2024/08/Toasted-Marshmallow-Brown-Sugar-Cookie-Bars-8-scaled.jpg
Chewy Chocolate Peanut Butter Bars,{'minutes': '10'},{'minutes': '10'},{'minutes': '50'},"['salted butter', 'organic corn flakes or brown rice krispies', 'plump Medjool dates, split lengthwise and pitted', 'creamy peanut butter, warmed', 'semi-sweet/dark chocolate, melted', 'flaky sea salt']","{'salted butter': '2', 'organic corn flakes or brown rice krispies': '2', 'plump Medjool dates, split lengthwise and pitted': '24', 'creamy peanut butter, warmed': '3/4', 'semi-sweet/dark chocolate, melted': '20', 'flaky sea salt': 'seasoning'}","['1. Melt the butter in a large skillet over medium heat until lightly brown. Add the cornflakes and cook until toasted, 5-8 minutes. Remove from the heat.', '2. Line a 9x13 inch baking pan with parchment paper.', '3. Tear the dates and press into a single layer on the bottom of the pan. For BEST results use fresh very chewy, plump dates. Add the cornflakes and evenly pour over the peanut butter. Alternately, if a studier bar is desired, blend the dates and peanut butter in a food processor, stir in the cereal, then press the mix firmly into the prepared pan.', '4. Freeze for 10 minutes. Pour over the chocolate. Sprinkle with sea salt.', '5. Chill in until firm, at least 20 minutes. Cut into bars. Keep in the freezer. Please note these bars are messy.']",284 kcal,24,https://www.halfbakedharvest.com/wp-content/uploads/2024/08/Chewy-Chocolate-Peanut-Butter-Crunch-Bars-1-scaled.jpg
Easy Banana Cupcakes with Espresso Chocolate Frosting,{'minutes': '20'},{'minutes': '25'},{'minutes': '45'},"['medium overly ripe bananas, mashed', 'melted coconut oil', 'honey', 'eggs', 'vanilla extract', 'all-purpose flour', 'baking soda', 'ground cinnamon', 'instant espresso powder', 'salt', 'cream cheese, at room temperature', 'salted butter, at room temperature', 'instant espresso powder', 'powdered sugar', 'unsweetened cocoa powder', 'vanilla extract', 'heavy cream, warmed']","{'medium overly ripe bananas, mashed': '4', 'melted coconut oil': '1/2', 'honey': '1/4', 'eggs': '2', 'vanilla extract': '2', 'all-purpose flour': '1 1/2', 'baking soda': '1 1/2', 'ground cinnamon': '1', 'instant espresso powder': '1 -2', 'salt': '1/2', 'cream cheese, at room temperature': '2', 'salted butter, at room temperature': '1', 'powdered sugar': '1', 'unsweetened cocoa powder': '1/2', 'heavy cream, warmed': '1/4'}","['1. Preheat oven to 350° F. Line cupcake molds with paper liners.', '2. In a bowl, stir together the mashed bananas, coconut oil, honey, eggs, and vanilla until combined. Add the flour, baking soda, cinnamon, instant espresso powder, and salt. Mix until just combined.', '3. Divide the batter evenly among the prepared pan. Bake 18-22 minutes until the tops are just set and no longer wiggly in the center. Remove and let cool.', '4. To make the frosting, add the cream cheese and butter to a large mixing bowl. Using an electric mixer beat until light and fluffy, about 2 minutes. Add the espresso powder and beat 1 minute. Add the powdered sugar, cocoa powder, and vanilla. Beat another 2-4 minutes or until the frosting is light and fluffy. Beat in the cream until combined.', '5. Frost each cupcake and decorate as desired. I love chocolate shavings or a sprinkle of espresso powder on top.']",230 kcal,15,https://www.halfbakedharvest.com/wp-content/uploads/2024/03/Easy-Banana-Cupcakes-with-Espresso-Chocolate-Frosting-1.jpg
Salted Chocolate Peanut Butter Bars,{'minutes': '25'},-,"{'hours': '2', 'minutes': '25'}","['chocolate wafer cookies or Oreos without filling', 'salted butter', 'semi-sweet chocolate chips', 'instant coffee', 'vanilla extract', 'creamy peanut butter', 'pure maple syrup', 'melted coconut oil', 'semi-sweet chopped chocolate or chocolate chips', 'heavy cream', 'sea salt (if desired)']","{'chocolate wafer cookies or Oreos without filling': '40', 'salted butter': '4', 'semi-sweet chocolate chips': '1/2', 'instant coffee': '2', 'vanilla extract': '2', 'creamy peanut butter': '1', 'pure maple syrup': '1/4', 'melted coconut oil': '1/4', 'semi-sweet chopped chocolate or chocolate chips': '2', 'heavy cream': '1', 'sea salt (if desired)': 'seasoning'}","['1. Line a 9×9 inch baking dish with parchment paper.\xa0In a food processor, pulse the cookies into semi-fine crumbs.', '2. Melt the chocolate chips and butter together in the microwave. Mix in the cookie crumbs, instant coffee, and vanilla. Press into the bottom of the prepared pan, packing it in tightly.', '3. To make the peanut butter layer: mix the peanut butter, honey/maple syrup, and coconut oil. Pour over the chocolate layer. Freeze 30 minutes until firm.', '4. Warm the cream over medium heat until steaming. Mix in the chopped chocolate until melted. Spread the chocolate over the peanut butter layer. Sprinkle with sea salt (if desired). Return to the fridge to set for at least 1 hour. Cut into bars. Keep in the fridge.']",444 kcal,16,https://www.halfbakedharvest.com/wp-content/uploads/2024/02/Chocolate-Peanut-Butter-Fudge-Bars-1.jpg
Easy Decked Out Christmas Tree Cookies,{'minutes': '30'},{'minutes': '10'},"{'hours': '1', 'minutes': '10'}","['salted butter, at room temperature', 'brown sugar', 'vanilla bean powder, or 1 tablespoon vanilla extract', 'egg, at room temperature', 'all-purpose flour, plus an additional 2-4 tablespoons, if needed', 'baking soda', 'kosher salt', 'milk or semi-sweet chocolate, melted', 'white chocolate, melted', 'assorted sprinkles, for decorating']","{'salted butter, at room temperature': '1 1/2', 'brown sugar': '3/4', 'vanilla bean powder, or 1 tablespoon vanilla extract': '1', 'egg, at room temperature': '1', 'all-purpose flour, plus an additional 2-4 tablespoons, if needed': '2', 'baking soda': '1/4', 'kosher salt': '1/2', 'milk or semi-sweet chocolate, melted': '12', 'white chocolate, melted': '4', 'assorted sprinkles, for decorating': 'seasoning'}","['1. In a large mixing bowl, beat together the butter and brown sugar. Add the egg and mix until combined. Beat in the vanilla. Add the flour, baking soda, and salt, beat until combined and the dough forms a ball. If the dough feels too wet to roll out, add 2-4 tablespoons of additional flour.', '2. Preheat the oven to 350° F. Line a baking sheet with parchment paper.', ""3. Divide the dough in half. Roll the dough on a floured piece of parchment paper to 1/4 inch thickness. Make sure you're using enough flour, or your dough will stick. Cut out the shapes using a 2-3 inch Christmas tree or snowflake cookie cutter. Transfer the cookies to a parchment-lined baking sheet. I recommend using a floured spatula to lift the cookies. Roll out the leftover scraps, and repeat with the remaining dough. You should have around 30 cookies."", '4. Using a small (1-inch) tree or snowflake/star cookie cutter, cut a hole into the center of 1/2 of the cookies. These are the “top cookies,” and the ones without a hole are the “bottom cookies"". Cover the baking sheets and place in the freezer until firm, 20 minutes.', '5. Bake the cookies on the middle rack of the oven for 8-12 minutes or until just lightly golden. Let cool.', '6. To assemble, spread the melted chocolate over the bottom cookies. Place the top cookie (the cookies with a hole) over the chocolate, gently pressing to adhere. Drizzle the cookies with melted white chocolate. Decorate as desired with your favorite sprinkles. The cookies can be served immediately, or stored in an airtight container for up to 3 days.']",263 kcal,15,https://www.halfbakedharvest.com/wp-content/uploads/2023/12/Easy-Decked-Out-Christmas-Tree-Cookies-1.jpg
Bakery Style Chocolate Chip Muffins,{'minutes': '15'},{'minutes': '20'},{'minutes': '35'},"['salted butter', 'real maple syrup', 'plain greek yogurt or sour cream', 'eggs', 'vanilla extract', 'whole wheat pastry flour', 'baking powder', 'kosher salt', 'semi-sweet chocolate chips', 'granulated sugar', 'flaky sea salt', 'ground vanilla bean powder']","{'salted butter': '1', 'real maple syrup': '1/2', 'plain greek yogurt or sour cream': '1', 'eggs': '2', 'vanilla extract': '1', 'whole wheat pastry flour': '2', 'baking powder': '2', 'kosher salt': '1/2', 'semi-sweet chocolate chips': '1 1/2', 'granulated sugar': '1', 'flaky sea salt': '2', 'ground vanilla bean powder': '1/2'}","['1. Preheat the oven to 425 degrees F. Line 11-12 muffin tins with paper liners.', '2. Add the butter to a skillet set over medium heat. Cook until the butter begins to brown, about 3-4 minutes. Remove from the heat and transfer to a heatproof bowl. Let cool 5 minutes or so.', '3. To the butter, add the maple syrup, Greek yogurt, eggs, and vanilla until smooth. Add the flour, baking powder, and kosher salt, mix until just combined. Fold in the chocolate chips.', '4. Divide the batter among the prepared muffin tins, filling all the way to the top. In a bowl, mix the sugar, sea salt and vanilla powder with your finger tips for 1 minute. Sprinkle over each muffin. Place in the oven, then turn the oven down to 350. Bake for 20-22 minutes, until just set. Enjoy, enjoy!']",331 kcal,12,https://www.halfbakedharvest.com/wp-content/uploads/2023/03/Bakery-Style-Chocolate-Chip-Muffins-1-1.jpg
Salted Pretzel Samoas Presents,{'minutes': '30'},{'minutes': '15'},{'minutes': '45'},"['granulated sugar', 'salted butter, at room temperature, cut into chunks', 'canned coconut milk', 'vanilla extract or vanilla bean powder', 'flaky sea salt', 'shredded coconut sweetened or unsweetened, toasted', 'mini waffle pretzels', 'dark chocolate or semi-sweet, chopped']","{'granulated sugar': '1', 'salted butter, at room temperature, cut into chunks': '2', 'canned coconut milk': '3/4', 'vanilla extract or vanilla bean powder': '1', 'flaky sea salt': 'seasoning', 'shredded coconut sweetened or unsweetened, toasted': '3', 'mini waffle pretzels': '3', 'dark chocolate or semi-sweet, chopped': '14'}","['1. Line a baking sheet with parchment paper.', '2. In a large pot, cook the sugar over medium heat, stirring occasionally until the sugar has melted and turns a golden caramel, about 10 minutes. Remove the pot from the heat and add the chunks of butter, whisking until combined. Then, stir in the coconut milk. Return the pot to medium heat and cook the mixture, stirring until the caramel has thickened into a sauce, about 5-8 minutes. Remove from the heat, let cool slightly, then stir in the vanilla and a pinch of salt.', '3. Add the toasted coconut to the coconut caramel sauce and stir until coated.', '4. Spoon 2 teaspoons of the coconut caramel mix onto each pretzel and then sandwich together with another pretzel, placing each on the prepared baking sheet. Freeze 15-30 minutes.', '5. Melt the chocolate in the microwave. Use a fork to dip each pretzel into the chocolate, letting the excess drizzle off. Place on the parchment lined baking sheet. Freeze until set, 15 minutes. Drizzle on more melted chocolate, if desired. Sprinkle the tops with sea salt.', '6. Store in the fridge or in a cool place for up to 2 weeks.']",258 kcal,24,https://www.halfbakedharvest.com/wp-content/uploads/2021/12/Samoas-Pretzel-Presents-1.jpg
Vanilla Burnt Basque Cheesecake,{'minutes': '20'},{'minutes': '50'},"{'hours': '1', 'minutes': '10'}","['packages cream cheese, at room temperature', 'granulated sugar', 'vanilla bean or 1 teaspoon vanilla bean powder', 'large eggs, at room temperature', 'heavy cream', 'hazelnut liquor', 'all-purpose flour', 'kosher salt', 'semi-sweet or milk chocolate chips', 'heavy cream', 'vanilla extract', 'espresso powder']","{'packages cream cheese, at room temperature': '3', 'granulated sugar': '3/4', 'vanilla bean or 1 teaspoon vanilla bean powder': '1', 'large eggs, at room temperature': '3', 'heavy cream': '1/2', 'hazelnut liquor': '1', 'all-purpose flour': '1/4', 'kosher salt': '1/2', 'semi-sweet or milk chocolate chips': '8', 'vanilla extract': '1', 'espresso powder': '1'}","['1. Place a rack in the middle of the oven. Preheat the oven to 400° F. Lightly butter a 8-9 inch spring-form pan and line with parchment paper going up the sides of the pan.', '2. Split the vanilla bean in half and use a sharp knife to scape out the seeds.', '3. In a mixing bowl, beat together the cream cheese, 3/4 sugar, and vanilla beans on medium speed, scraping down the sides of the bowl until very smooth and creamy, about 2 minutes. Add the eggs, 1 at a time until the eggs are fully incorporated. Scrape down the sides of the bowl, then reduce the mixer speed to medium-low. Add the cream and hazelnut liquor, beat until combined, about 30 seconds.', '4. Sift the flour and salt into the batter, then beat again to combine, about 30 seconds. Pour the batter into the prepared pan.', '5. Bake for 50-55 minutes, until deeply golden brown on top and still very jiggly in the center. Let the cake cool 5 minutes, then unmold. Let cool completely.', '6. Before serving, make the chocolate sauce. Combine chocolate and cream microwave-safe bowl and microwave, stirring every 45 seconds, until melted. Stir in the vanilla and coffee powder.', '7. Slice into wedges and serve at room temperature or chilled, drizzled with warm chocolate sauce.']",468 kcal,8,https://www.halfbakedharvest.com/wp-content/uploads/2021/11/Vanilla-Burnt-Basque-Cheesecake-1-1.jpg
Salted Pretzel Snickers Chocolate Chip Cookie Bars,{'minutes': '20'},{'minutes': '20'},{'minutes': '40'},"['salted butter', 'packed dark brown sugar', 'granulated sugar', 'large eggs, at room temperature', 'vanilla extract', 'all-purpose flour', 'baking soda', 'kosher salt', 'semi-sweet chocolate chips or chunks', 'chopped Snickers bars…or more!', 'mini pretzel twists, roughly crushed', 'flaky sea salt, for sprinkling']","{'salted butter': '2', 'packed dark brown sugar': '3/4', 'granulated sugar': '1/4', 'large eggs, at room temperature': '2', 'vanilla extract': '1', 'all-purpose flour': '2 1/4', 'baking soda': '3/4', 'kosher salt': '1/2', 'semi-sweet chocolate chips or chunks': '1', 'chopped Snickers bars…or more!': '1', 'mini pretzel twists, roughly crushed': '1', 'flaky sea salt, for sprinkling': 'seasoning'}","['1. Preheat the oven to 350° F. Line a 9×13 inch baking dish with parchment paper.', '2. In a large mixing bowl, beat together the butter, brown sugar, and granulated sugar until combined. Beat in the eggs, 1 at a time, until combined. Add the vanilla, beating to combine. Add the flour, baking soda, and salt.', '3. Stir in the chocolate, Snickers, and 1/2 cup pretzels. Press the dough into the prepared baking dish. Press the remaining pretzels into the dough. Bake 18-22 minutes, until golden brown, but a little doughy in the center.', '4. Remove from the oven and sprinkle with flaky salt (if desired). Let cool and store in an airtight container for up to 5 days…or eat warm…which is delicious and recommended!']",250 kcal,22,https://www.halfbakedharvest.com/wp-content/uploads/2021/10/Pretzel-Snickers-Chocolate-Chip-Cookie-Bars-1.jpg
Brown Butter Christmas M&M Cookie Bars,{'minutes': '15'},{'minutes': '20'},{'minutes': '45'},"['salted butter', 'packed dark brown sugar', 'granulated sugar', 'large eggs, at room temperature', 'vanilla extract', 'all-purpose flour', 'baking soda', 'kosher salt', 'semi-sweet chocolate chips', ""Christmas M&M's...or more!"", ""Hershey's Milk chocolate kisses, halved"", 'flaky sea salt, for sprinkling']","{'salted butter': '2', 'packed dark brown sugar': '3/4', 'granulated sugar': '1/4', 'large eggs, at room temperature': '2', 'vanilla extract': '1', 'all-purpose flour': '2 1/4', 'baking soda': '3/4', 'kosher salt': '1/2', 'semi-sweet chocolate chips': '1', ""Christmas M&M's...or more!"": '1', ""Hershey's Milk chocolate kisses, halved"": '10-12', 'flaky sea salt, for sprinkling': 'seasoning'}","['1. Add the butter to a skillet set over medium heat. Cook until the butter begins to brown, about 3-4 minutes. Remove from the heat and transfer to a heatproof bowl. Stick in the freezer to chill, 10-15 minutes, but no longer.', '2. Preheat the oven to 350 degrees F. Line a 9x13 inch baking dish with parchment paper.', '3. In a large mixing bowl, beat together the browned butter, brown sugar, and granulated sugar until combined. Beat in the eggs, 1 at a time, until combined. Add the vanilla, beating to combine. Add the flour, baking soda, and salt.', ""4. Stir in the M&M's, then remove 1 cup of cookie dough and set to the side. To the remaining dough, stir in the chocolate chips. Press the dough into the prepared baking dish.\xa0Now to take the reserved dough and press it on top to mostly cover. If desired add additional M&M's. Bake 18-22 minutes, until golden brown, but a little doughy in the center. Remove from the oven and sprinkle the kisses over the cookies Return to the oven for 1-2 minutes to gently melt the chocolate."", '5. Sprinkle with flaky salt. Eat warm let cool and store in an airtight container for up to 5 days...or eat warm...which is delicious and recommended.']",534 kcal,22,https://www.halfbakedharvest.com/wp-content/uploads/2020/12/Brown-Butter-Christmas-MM-Cookie-Bars-1-700x1050.jpg
