title,prep_time,cook_time,total_time,ingredients,ingredients with measurement,instructions,calories,servings,images
Hocus Pocus Old Fashioned,{'minutes': '10'},{'minutes': '5'},{'minutes': '15'},"['honey', 'fresh rosemary', 'cinnamon sticks', 'star anise', 'bourbon', 'lemon juice', 'apple butter or pumpkin butter', 'orange bitters', 'honey syrup', 'ginger beer, for topping', 'honey', 'fresh rosemary', 'cinnamon sticks', 'star anise', 'bourbon', 'lemon juice', 'apple butter or pumpkin butter', 'orange bitters', 'honey syrup', 'ginger beer, for topping']","{'honey': '1/2', 'fresh rosemary': '2', 'cinnamon sticks': '2', 'star anise': 'seasoning', 'bourbon': '8', 'lemon juice': '4', 'apple butter or pumpkin butter': '1/4', 'orange bitters': '3-4', 'honey syrup': '3-4', 'ginger beer, for topping': 'seasoning'}","['1. To make the spiced honey syrup. In a medium pot, bring 1/2 cup water, honey, rosemary, cinnamon, and star anise (if using) to a boil over high heat. Boil for 2-3 minutes, then remove from the heat. Let cool. This syrup makes enough for about 6 drinks.', '2. Rim your glass with spicy cinnamon sugar (recipe in notes).', '3. In a cocktail shaker, combine 2-3 tablespoons of honey syrup, bourbon, lemon juice, apple/pumpkin butter, and bitters. Add ice and shake. Strain into a glass. Finish with cinnamon sticks.', 'To Make a Mocktail:\xa0Omit the bourbon. Use 1 tablespoon of apple cider or sparkling apple cider along with 1/4 teaspoon vanilla extract.']",246 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2023/10/Hocus-Pocus-Old-Fashioned-1.jpg
Enchanted Graveyard Pomegranate Punch,{'minutes': '10'},-,{'minutes': '10'},"['pomegranate juice', 'vodka', 'spiced apple butter', 'orange bitters', 'cinnamon sticks', 'champagne', 'ginger beer', 'star anise', 'coarse sugar', 'brown sugar', 'candied ginger pieces, finely chopped', 'pomegranate juice, for the rim', 'pomegranate juice', 'apple cider vinegar', 'apple butter', 'cinnamon sticks', 'orange bitters', 'sparkling white grape juice', 'ginger beer', 'coarse sugar', 'brown sugar', 'candied ginger pieces, finely chopped', 'pomegranate juice, for the rim']","{'pomegranate juice': '8', 'vodka': '1', 'spiced apple butter': '1/2', 'orange bitters': '4', 'cinnamon sticks': '4', 'champagne': '1', 'ginger beer': '4-5', 'star anise': '1-2', 'coarse sugar': '2', 'brown sugar': '2', 'candied ginger pieces, finely chopped': '1/4', 'pomegranate juice, for the rim': 'seasoning', 'apple cider vinegar': '2', 'apple butter': '1/2', 'sparkling white grape juice': '2'}","['1.\xa0In a large pitcher, combine the pomegranate juice, vodka, apple butter, and bitters. Stir until combined. Add the cinnamon sticks and 1-2 star anise (if you like). Chill until ready to serve.', '2. Just before serving, add ice to your punch bowl. Pour over the champagne and ginger beer. Add ice to tumblers and pour over the punch. Enjoy!', '3. To make the ginger rim, on a small plate, mix the coarse sugar, brown sugar, and ginger. Dip the rim of the glass into a thin layer of juice. Then dip the glass into the sugar mix.']",338 kcal,8,https://www.halfbakedharvest.com/wp-content/uploads/2023/10/Enchanted-Graveyard-Pomegranate-Punch-1.jpg
Frosted Mistletoe Margarita Punch,{'minutes': '10'},-,{'minutes': '10'},"['granulated sugar', 'kosher salt', 'silver tequila', 'no sugar added cranberry juice', 'Cointreau', 'fresh lime juice', 'fresh or frozen cranberries', 'honey, use more or less to your taste', 'zest from 1 orange', 'ice', 'rosemary and sugared cranberries, for serving', 'granulated sugar', 'kosher salt', 'silver tequila', 'no sugar added cranberry juice', 'Cointreau', 'juice from 1/2 a lime', 'fresh or frozen cranberries', 'honey, use more or less to your taste', 'orange zest', 'ice', 'rosemary and sugared cranberries, for serving']","{'granulated sugar': '3', 'kosher salt': '2', 'silver tequila': '2', 'no sugar added cranberry juice': '4', 'Cointreau': '3/4', 'fresh lime juice': '1', 'fresh or frozen cranberries': '1-2', 'honey, use more or less to your taste': '2-3', 'zest from 1 orange': 'seasoning', 'ice': '1', 'rosemary and sugared cranberries, for serving': 'seasoning', 'juice from 1/2 a lime': 'seasoning', 'orange zest': '2'}","['1. Combine the sugar and salt on a shallow plate. Rim each glass in salted sugar.', '2. In a blender, combine the tequila, cranberry juice, orange liquor, lime juice, cranberries, and honey. Add the ice and blend until slushy. Add the orange zest and blend to combine. Pour into your prepared glasses. Garnish with rosemary and sugared cranberries, if desired. Drink!']",207 kcal,8,https://www.halfbakedharvest.com/wp-content/uploads/2020/12/Frosted-Mistletoe-Margarita-1-700x1050.jpg
Spiced Cranberry Punch,{'minutes': '10'},{'minutes': '5'},{'minutes': '15'},"['fresh cranberries', 'honey or maple syrup, using more or less to your taste', 'fresh ginger, sliced', 'all-spice berries', 'cloves', 'cinnamon sticks', '100% cranberry or pomegranate juice', 'orange juice', 'vodka', 'sparkling water', 'chai spice sugar or cinnamon sugar, for the rim', 'sliced oranges, mint, and star anise, for serving']","{'fresh cranberries': '2', 'honey or maple syrup, using more or less to your taste': '1/2', 'fresh ginger, sliced': '1', 'all-spice berries': '8', 'cloves': '5', 'cinnamon sticks': '2', '100% cranberry or pomegranate juice': '2', 'orange juice': '1', 'vodka': '1 1/2-2', 'sparkling water': '4-6', 'chai spice sugar or cinnamon sugar, for the rim': 'seasoning', 'sliced oranges, mint, and star anise, for serving': 'seasoning'}","['1. In a pot, bring 1/2 cup water, the cranberries, honey, ginger, all-spice, cloves, and cinnamon sticks to a boil over high heat. Boil 5 minutes, until the cranberries begin to burst, then remove from the heat. Let cool. Remove the ginger slices, all-spice berries, and cloves. If desired, strain out the cranberries.', '2.\xa0In a large pitcher, combine the cranberry syrup,\xa0cranberry juice, orange juice, and vodka. Chill until ready to serve.', '3. Just before serving, add the sparkling water. If desired, rim each class in Chai sugar (recipe in notes), then fill with ice and pour the punch over. Garnish each drink with an orange slice and star anise, if desired.']",296 kcal,8,https://www.halfbakedharvest.com/wp-content/uploads/2020/11/Spiced-Cranberry-Punch-1-700x1050.jpg
-,-,-,-,-,-,-,-,-,https://www.halfbakedharvest.com/wp-content/uploads/2019/11/Cranberry-Bourbon-Sour-1-700x1050.jpg
Voldemort’s Dark Serum,{'minutes': '5'},-,{'minutes': '5'},"['pomegranate juice', 'silver tequila or Mezcal', 'Chambord', 'orange bitters', 'juice from 1/2 a lemon', 'pure maple syrup', 'fresh sage leaves, plus more for serving', 'ginger beer, for topping', 'pomegranate juice', 'silver tequila or Mezcal', 'Chambord', 'orange bitters', 'juice from 2 small lemons', 'pure maple syrup', 'fresh sage leaves, plus more for serving', 'ginger beer']","{'pomegranate juice': '1', 'silver tequila or Mezcal': '8', 'Chambord': '4', 'orange bitters': '4', 'juice from 1/2 a lemon': 'seasoning', 'pure maple syrup': '2', 'fresh sage leaves, plus more for serving': '8', 'ginger beer, for topping': 'seasoning', 'juice from 2 small lemons': 'seasoning', 'ginger beer': '2'}","['1. Combine the pomegranate juice, tequila, Chambord, orange bitters, lemon juice, maple syrup, and sage in a cocktail shaker. Add ice and shake to combine. Strain into a rocks glass filled with ice. Top with ginger beer.', '2. Garnish with fresh sage. If desired light on fire for a smoky effect. BOO!']",448 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2020/10/Voldemorts-Dark-Serum-1-700x1050.jpg
Frosty's Frosted Moscow Mule,{'minutes': '5'},-,{'minutes': '5'},"['vodka', 'juice from 1/2 lime juice', 'fresh grapefruit juice, plus grapefruit slices for serving', 'a dash of McCormick Peppermint Extract, to your taste', 'ginger beer, for topping', 'pomegranate arils, for serving', 'fresh mint leaves, for serving']","{'vodka': '2', 'juice from 1/2 lime juice': 'seasoning', 'fresh grapefruit juice, plus grapefruit slices for serving': '1/4', 'a dash of McCormick Peppermint Extract, to your taste': 'seasoning', 'ginger beer, for topping': 'seasoning', 'pomegranate arils, for serving': 'seasoning', 'fresh mint leaves, for serving': 'seasoning'}","['1.\xa0Fill a cocktail glass with ice. Add the vodka, lime juice, grapefruit juice, and peppermint extract. Stir to combine. Top of with ginger beer. Garnish with pomegranate arils, a grapefruit slice, and fresh mint. DRINK.']",449 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2017/12/Frostys-Frosted-Moscow-Mule-1-700x1050.jpg
Cranberry Thyme Spritz,{'minutes': '10'},{'minutes': '10'},{'minutes': '20'},"['honey', 'fresh cranberries', 'fresh thyme', 'fresh ginger, sliced', 'vodka', 'elderflower liquor', 'fresh squeezed grapefruit juice, plus slices for serving', 'fresh lime juice', 'ginger beers', 'star anise, for serving']","{'honey': '1/2', 'fresh cranberries': '2', 'fresh thyme': '2', 'fresh ginger, sliced': '1', 'vodka': '8', 'elderflower liquor': '4', 'fresh squeezed grapefruit juice, plus slices for serving': '1/3', 'fresh lime juice': '1/4', 'ginger beers': '4-6', 'star anise, for serving': 'seasoning'}","['1. In a medium pot, bring 1/2 cup water, the honey, cranberries, thyme, and ginger to a boil over high heat. Boil 5 minutes or until the cranberries begin to burst, then remove from the heat. Let cool. Remove the thyme and ginger. If desired, strain out the cranberries.', '2.\xa0In a large pitcher, combine the cranberry syrup mix, vodka, elderflower liquor, grapefruit juice, and lime juice. Chill until ready to serve.', '3. Add the ginger beer just before serving. Garnish each drink with a grapefruit slice and star anise, if desired.']",252 kcal,8,https://www.halfbakedharvest.com/wp-content/uploads/2017/11/Cranberry-Thyme-Spritz-5-700x1050.jpg
Vampire's Drip Cocktail,{'minutes': '10'},{'minutes': '10'},{'minutes': '20'},"['granulated sugar', 'pomegranate juice', 'white rum', 'coconut rum', 'Kahlúa', 'vanilla', 'whole milk or heavy cream', 'sweetened condensed milk, to taste', 'semi sweet chocolate, chopped', 'heavy cream', 'vanilla', 'salt', 'Oreo cookie halves (cream center discarded)', 'candy eyes']","{'granulated sugar': '1/2', 'pomegranate juice': '1/2', 'white rum': '1', 'coconut rum': '1/2', 'Kahlúa': '1/2', 'vanilla': '1', 'whole milk or heavy cream': '1/4', 'sweetened condensed milk, to taste': '1-2', 'semi sweet chocolate, chopped': '12', 'heavy cream': '1/2', 'salt': '1/2', 'Oreo cookie halves (cream center discarded)': '6', 'candy eyes': 'seasoning'}","['1. Bring the sugar and pomegranate juice to a boil over high heat in a medium saucepan. Reduce the heat to medium and simmer until thickened, about 8-10 minutes. Set aside to cool.', '*The Pomegranate Caramel will make enough to drizzle over 8 drinks']",348 kcal,2,https://www.halfbakedharvest.com/wp-content/uploads/2017/10/Vampires-Drip-Cocktail-1-1.jpg
The Deathly Hallows Cocktail,{'minutes': '5'},-,{'minutes': '5'},"['silver tequila or Mezcal', 'cranberry or pomegranate juice', 'orange liquor', 'lemon juice', 'real maple syrup', 'ginger beer, for topping', 'fresh thyme, for garnish', 'silver tequila or Mezcal', 'cranberry juice', 'orange liquor', 'lemon juice', 'real maple syrup, to taste', 'ginger beer', 'fresh thyme']","{'silver tequila or Mezcal': '1 1/2', 'cranberry or pomegranate juice': '2 1/2', 'orange liquor': '1/2', 'lemon juice': '1/2', 'real maple syrup': '1', 'ginger beer, for topping': 'seasoning', 'fresh thyme, for garnish': 'seasoning', 'cranberry juice': '3', 'real maple syrup, to taste': '1/4-1/3', 'ginger beer': 'seasoning', 'fresh thyme': 'seasoning'}","['1. Combine all the ingredients in a cocktail shaker and fill with ice. Shake until combined and then strain into glass. Top with ginger beer.', '2. Garnish with thyme. If desired light on fire for a smoky effect.']",354 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2017/10/The-Deathly-Hallows-Cocktail-1.jpg
