title,prep_time,cook_time,total_time,ingredients,ingredients with measurement,instructions,calories,servings,images
Herbed Butter Heirloom Tomato Pizza.,{'minutes': '15'},{'minutes': '15'},{'minutes': '30'},"['Land O Lakes® Butter with Olive Oil and Sea Salt', 'garlic, minced or grated', 'chopped fresh oregano', 'fresh thyme leaves', 'fresh basil, chopped, plus more for serving', 'crushed red pepper flakes', 'black pepper', 'pizza dough, homemade or store-bought', 'baby spinach', 'crumbled goat cheese', 'heirloom tomato, sliced ¼"" thick', 'cubed provolone or mozzarella', 'heirloom cherry tomatoes, halved', 'flaky sea salt', 'balsamic or white balsamic vinegar']","{'Land O Lakes® Butter with Olive Oil and Sea Salt': '3', 'garlic, minced or grated': '2', 'chopped fresh oregano': '1', 'fresh thyme leaves': '2', 'fresh basil, chopped, plus more for serving': '1/4', 'crushed red pepper flakes': '1/2', 'black pepper': '1', 'pizza dough, homemade or store-bought': '1/2', 'baby spinach': '1', 'crumbled goat cheese': '3', 'heirloom tomato, sliced ¼"" thick': '1', 'cubed provolone or mozzarella': '1', 'heirloom cherry tomatoes, halved': '2', 'flaky sea salt': 'seasoning', 'balsamic or white balsamic vinegar': '2'}","['1. Preheat the oven to 450 degrees F. Grease a large baking sheet with olive oil.', '3. On a lightly floured surface, push/roll the dough out until it is pretty thin(about a 10-12 inch circle). Transfer the dough to the prepared baking sheet.']",572 kcal,6,https://www.halfbakedharvest.com/wp-content/uploads/2019/08/Herbed-Butter-Heirloom-Tomato-Pizza-1-700x1050.jpg
30 Minute Basil Chicken Banh Mi Sandwich.,{'minutes': '20'},{'minutes': '10'},{'minutes': '30'},"['garlic chili sauce (sambal oelek)', 'fish sauce (or soy sauce)', 'maple syrup', 'garlic, minced or grated', 'boneless skinless chicken breasts, cut into strips', 'black pepper', 'sesame oil', 'fresh basil, chopped', 'mango, thinly sliced', 'jalapeño, thinly sliced', 'fresh basil and cilantro leaves', 'juice from 1 lime', 'toasted sesame seeds', 'baguette, cut into 4 pieces and toasted', 'pickled vegetables, for serving', 'fried eggs, for serving  (optional)', 'tahini', 'chili garlic sauce', 'maple syrup', 'Kosher salt']","{'garlic chili sauce (sambal oelek)': '2', 'fish sauce (or soy sauce)': '2', 'maple syrup': '2', 'garlic, minced or grated': '2', 'boneless skinless chicken breasts, cut into strips': '1', 'black pepper': '1', 'sesame oil': '2', 'fresh basil, chopped': '1/4', 'mango, thinly sliced': '1', 'jalapeño, thinly sliced': '1', 'fresh basil and cilantro leaves': '1/2', 'juice from 1 lime': 'seasoning', 'toasted sesame seeds': '1', 'baguette, cut into 4 pieces and toasted': '1', 'pickled vegetables, for serving': 'seasoning', 'fried eggs, for serving  (optional)': '4', 'tahini': '1/4', 'chili garlic sauce': '2', 'Kosher salt': 'seasoning'}","['5. To make the special sauce. Combine all ingredients in bowl. Add 1/4 cup water and whisk with a fork to combine, adding water if needed to thin. Taste and adjust seasonings.']",703 kcal,4,https://www.halfbakedharvest.com/wp-content/uploads/2019/05/30-Minute-Basil-Chicken-Banh-Mi-Sandwich-1-700x1050.jpg
Sweet and Spicy Tomato Basil Pepperoni Pizza,{'minutes': '15'},{'minutes': '10'},{'minutes': '25'},"['pizza dough, homemade or store-bought', 'crushed San Marzano tomatoes', 'basil pesto, homemade or store bought', 'pinch crushed red pepper flakes, to taste', 'torn mozzarella cheese', 'shredded fontina cheese', 'jalapeño or serrano pepper, sliced, seeded if desired', 'thinly sliced hot soppressata or spicy pepperoni', 'fresh basil leaves', 'honey, for drizzling']","{'pizza dough, homemade or store-bought': '1/2', 'crushed San Marzano tomatoes': '1', 'basil pesto, homemade or store bought': '1/4', 'pinch crushed red pepper flakes, to taste': '1', 'torn mozzarella cheese': '1', 'shredded fontina cheese': '1', 'jalapeño or serrano pepper, sliced, seeded if desired': '1', 'thinly sliced hot soppressata or spicy pepperoni': '2', 'fresh basil leaves': '1', 'honey, for drizzling': 'seasoning'}","['1. Preheat the oven to 450 degrees F. Grease a large baking sheet with olive oil.', '2. On a lightly floured surface, push/roll the pizza dough out until it is pretty thin (about a 10-12 inch circle). Transfer the dough to the prepared baking sheet. Spread the dough with tomatoes and pesto. Sprinkle with crushed red pepper flakes. Add the cheeses,\xa0jalapeño, and\xa0soppressata.', '3. Transfer to the oven and bake for 10-15 minutes or until the crust is golden.', '4.\xa0Remove the pizza from the oven and top with fresh basil and a drizzle of honey. Enjoy!']",508 kcal,6,https://www.halfbakedharvest.com/wp-content/uploads/2019/05/Sweet-and-Spicy-Tomato-Basil-Pepperoni-Pizza-1-700x1050.jpg
Antipasto Pasta Salad with Herby Parmesan Vinaigrette.,{'minutes': '20'},{'minutes': '10'},{'minutes': '30'},"['short cut pasta', 'extra virgin olive oil', 'champagne or red wine vinegar', 'small shallot, grated', 'fresh thyme leaves', 'zest of 1 lemon', 'grated parmesan cheese', 'toasted pine nuts, finely chopped', 'crushed red pepper flakes', 'kosher salt and black pepper', 'fresh basil leaves, roughly chopped', 'roasted red bell peppers, sliced', 'marinated artichoke hearts, drained', 'oil packed sun-dried tomatoes oil, drained and chopped', 'spicy salami, thinly sliced', 'fresh mozzarella or buffalo mozzarella, torn', 'baby arugula']","{'short cut pasta': '1', 'extra virgin olive oil': '1/3', 'champagne or red wine vinegar': '1/4', 'small shallot, grated': '1', 'fresh thyme leaves': '1', 'zest of 1 lemon': 'seasoning', 'grated parmesan cheese': '1/4', 'toasted pine nuts, finely chopped': '2', 'crushed red pepper flakes': '1', 'kosher salt and black pepper': 'seasoning', 'fresh basil leaves, roughly chopped': '2', 'roasted red bell peppers, sliced': '2', 'marinated artichoke hearts, drained': '1', 'oil packed sun-dried tomatoes oil, drained and chopped': '1/2', 'spicy salami, thinly sliced': '4', 'fresh mozzarella or buffalo mozzarella, torn': '8', 'baby arugula': '1-2'}","['1. Bring a large pot of salted water to a boil. Boil the pasta to al dente, according to package directions. Drain.', '2. Meanwhile, to a large serving bowl, add olive oil, vinegar, the shallot, thyme, lemon zest, parmesan, pine nuts (if using), and a pinch each of crushed red pepper flakes, salt, and pepper. Add half the basil and the hot pasta and toss vigorously to combine.', '3. Add the bell peppers, artichokes, sun-dried tomatoes, salami, mozzarella, and half the arugula, tossing to combine. At this point, the salad can be served warm (my preference) or cooled and kept in the fridge for up to 2-3 days.', '4. To serve, bring the pasta to room temp. Top with the remaining arugula and basil. Season with freshly cracked pepper and salt. Enjoy!']",929 kcal,6,https://www.halfbakedharvest.com/wp-content/uploads/2019/05/Antipasto-Pasta-Salad-with-Herby-Parmesan-Vinaigrette-1-700x1050.jpg
Sesame Crusted Curried Salmon Burgers with Lemony Herbs.,{'minutes': '20'},{'minutes': '10'},{'minutes': '45'},"['raw skinless salmon', 'red curry paste', 'fresh ginger, grated', 'garlic, minced or grated', 'kosher salt and crushed red pepper flakes', 'raw sesame seeds', 'extra virgin olive oil', 'salted butter', 'shallot, thinly sliced', 'zest of 1 lemon', 'fresh herbs, such as cilantro, mint, and parsley, roughly torn', 'fresh arugula', 'fresh naan, warmed', 'romaine lettuce, for serving', 'plain greek yogurt', 'crushed red pepper flakes', 'juice from 1 lemon', 'kosher salt']","{'raw skinless salmon': '1 1/2', 'red curry paste': '2', 'fresh ginger, grated': '1', 'garlic, minced or grated': '1', 'kosher salt and crushed red pepper flakes': '1', 'raw sesame seeds': '1/3', 'extra virgin olive oil': '3', 'salted butter': '2', 'shallot, thinly sliced': '1', 'zest of 1 lemon': 'seasoning', 'fresh herbs, such as cilantro, mint, and parsley, roughly torn': '2', 'fresh arugula': '1', 'fresh naan, warmed': '4', 'romaine lettuce, for serving': 'seasoning', 'plain greek yogurt': '1', 'crushed red pepper flakes': '1/2', 'juice from 1 lemon': 'seasoning', 'kosher salt': 'seasoning'}","['1. Add the salmon to the bowl of a food processor and pulse until it’s finely ground, about 30 seconds. Add the salmon to a bowl and mix with curry paste, ginger, garlic, and a pinch each of salt and crushed red pepper flakes.\xa0\xa0Form the mix into 4 burger patties.', 'Form the mix into 4 burger patties.', '2. Place the sesame seeds in a shallow bowl and coat both sides of the burgers in seeds. Cover the burgers and chill 15-30 minutes.', '2. Place the sesame seeds in a shallow bowl and coat both sides of the burgers in seeds. Cover the burgers and chill 15-30 minutes.', '3. Meanwhile, make the yogurt. Mix all ingredients in a bowl until smooth.', '3. Meanwhile, make the yogurt. Mix all ingredients in a bowl until smooth.', '4. Heat 2 tablespoon oil in a large skillet over medium heat. When the oil shimmers, add the salmon burgers and cook until the seeds are toasted and golden brown, 3-4 minutes per side. Remove from the skillet. Wipe the skillet clean.', '4. Heat 2 tablespoon oil in a large skillet over medium heat. When the oil shimmers, add the salmon burgers and cook until the seeds are toasted and golden brown, 3-4 minutes per side. Remove from the skillet. Wipe the skillet clean.', '5.\xa0Heat the remaining 1 tablespoon oil and the butter in the skillet over high heat. Add the shallots and cook, stirring occasionally until caramelized, about 3 minutes. Stir in the lemon zest. Remove the shallots to a paper towel lined plate. Reserve the oil in the pan.', '5.', 'Heat the remaining 1 tablespoon oil and the butter in the skillet over high heat. Add the shallots and cook, stirring occasionally until caramelized, about 3 minutes. Stir in the lemon zest. Remove the shallots to a paper towel lined plate. Reserve the oil in the pan.', '6. To make the herb topping. In a small bowl, toss together the herbs, arugula, reserved oil, and the crisp shallots.', '6. To make the herb topping. In a small bowl, toss together the herbs, arugula, reserved oil, and the crisp shallots.', '7. To assemble, spread\xa0each piece of naan with yogurt. Add the lettuce, then the burger, and then the herb topping. Serve and enjoy!', '7. To assemble,', 'each piece of naan with yogurt. Add the lettuce, then the burger, and then the herb topping. Serve and enjoy!']",1089 kcal,4,https://www.halfbakedharvest.com/wp-content/uploads/2019/05/Sesame-Crusted-Curried-Salmon-Burgers-with-Lemony-Herbs-1-700x1050.jpg
"Crispy Prosciutto, Asparagus, and Brie Toast.",{'minutes': '15'},{'minutes': '15'},{'minutes': '30'},"['extra virgin olive oil', 'thin asparagus, ends trimmed', 'garlic, minced or grated', 'kosher salt and black pepper', 'thinly sliced prosciutto, torn', 'ciabatta bread, or any crusty bread, sliced', 'brie wheel, sliced into 12 slices', 'honey', 'apple cider vinegar', 'crushed red pepper flakes', 'fresh basil leaves and thyme, for serving']","{'extra virgin olive oil': '6', 'thin asparagus, ends trimmed': '1', 'garlic, minced or grated': '3', 'kosher salt and black pepper': 'seasoning', 'thinly sliced prosciutto, torn': '3', 'ciabatta bread, or any crusty bread, sliced': '1', 'brie wheel, sliced into 12 slices': '1', 'honey': '2', 'apple cider vinegar': '1', 'crushed red pepper flakes': '1', 'fresh basil leaves and thyme, for serving': 'seasoning'}","['1. Preheat the oven to 425 degrees F.', '2. On a baking sheet, toss the asparagus and garlic with 4 tablespoons olive oil and a pinch of salt and pepper. Arrange in a single layer. Drape the prosciutto over the asparagus. Transfer to the oven and\xa0roast for 15 -20 minutes, or until the asparagus is lightly charred and the prosciutto crisp. Remove from the oven.', 'roast for 15 -20 minutes, or until the asparagus is lightly charred and the prosciutto crisp. Remove from the oven.', '3. On a separate baking sheet, drizzle the remaining 2 tablespoons olive oil over the sliced bread. Transfer to the oven and cook 5 minutes. Then flip the bread and add a slice of brie to each. Return to the oven and cook 5 more minutes or until the brie is melted.', '4. Meanwhile, make the spicy honey. Mix together the honey, vinegar, and crushed red pepper flakes.', '5. To serve, arrange the brie toast on a serving plate. Top each toast with asparagus and prosciutto. Drizzle over the spicy honey, and top with fresh thyme, basil, and salt. Serve.']",694 kcal,8,https://www.halfbakedharvest.com/wp-content/uploads/2019/04/Crispy-Prosciutto-Asparagus-and-Brie-Toast-1-700x1050.jpg
Baked Spicy Ranch Chicken Fingers with Honey Mustard.,{'minutes': '20'},{'minutes': '20'},{'minutes': '40'},"['boneless chicken tenders', 'buttermilk', 'finely crushed corn flakes', 'whole wheat, or all-purpose flour', 'dried chives', 'dried parsley', 'dried dill', 'garlic and onion powder', 'cayenne pepper, or chipotle chile powder, use more or less to taste', 'kosher salt black pepper', 'extra virgin olive oil, for brushing', 'chopped fresh chives or parsley, for serving', 'dijon mustard', 'honey', 'extra virgin olive oil', 'juice of 1/2 a lemon, plus additional wedges for serving', 'cayenne pepper', 'kosher salt and black pepper']","{'boneless chicken tenders': '2', 'buttermilk': '1', 'finely crushed corn flakes': '2', 'whole wheat, or all-purpose flour': '2', 'dried chives': '1', 'dried parsley': '1', 'dried dill': '2', 'garlic and onion powder': '1', 'cayenne pepper, or chipotle chile powder, use more or less to taste': '1', 'kosher salt black pepper': '1', 'extra virgin olive oil, for brushing': 'seasoning', 'chopped fresh chives or parsley, for serving': 'seasoning', 'dijon mustard': '1/4', 'honey': '1/4', 'extra virgin olive oil': '1/4', 'juice of 1/2 a lemon, plus additional wedges for serving': 'seasoning', 'cayenne pepper': '1/4', 'kosher salt and black pepper': 'seasoning'}","['1. Add the chicken to a gallon size zip top bag. Pour the buttermilk over the chicken. Toss well to coat.', '2. Preheat the oven to 425 degrees F. Line a baking sheet with parchment.', '3. Add the corn flake crumbs, flour, parsley, chives, dill, garlic powder, onion powder, cayenne pepper, and a pinch each of pepper to a medium sized bowl. Stir to combine.', '4. Remove each piece of chicken from the buttermilk, and dredge through the crumbs, pressing gently to adhere. Place on the prepared baking sheet. Repeat until all the chicken has been used. Make sure not to crowd your pan, if necessary use two baking sheets. Lightly brush/drizzle the chicken with olive oil. Transfer to the oven and bake for 15-20 minutes or until the chicken is cooked through.', '5. Meanwhile, make the honey mustard sauce. Combine all ingredients in a glass jar and shake or whisk until smooth and creamy.', '6. Serve the chicken topped with flaky salt, fresh chives and honey mustard for dipping. Enjoy!']",855 kcal,6,https://www.halfbakedharvest.com/wp-content/uploads/2019/04/Baked-Black-Pepper-Ranch-Chicken-Fingers-with-Honey-Mustard-1-700x1050.jpg
30 Minute Cajun Butter Steak and Peppers,{'minutes': '15'},{'minutes': '15'},{'minutes': '30'},"['cubed beef tenderloin or ribeye OR flank steak sliced against the gren', 'fresh thyme leaves, plus additional thyme for serving', 'smoked paprika', 'chili powder', 'dried oregano', 'onion powder', 'cayenne pepper, more or less to taste', 'kosher salt and black pepper', 'extra virgin olive oil', 'bell peppers, sliced', 'salted butter', 'garlic, minced or grated', 'juice from 1 lemon', 'steamed rice, for serving', 'avocado, sliced', 'fresh herbs such as basil, cilantro, and or mint']","{'cubed beef tenderloin or ribeye OR flank steak sliced against the gren': '1 1/2', 'fresh thyme leaves, plus additional thyme for serving': '2', 'smoked paprika': '1', 'chili powder': '2', 'dried oregano': '1', 'onion powder': '1', 'cayenne pepper, more or less to taste': '1', 'kosher salt and black pepper': 'seasoning', 'extra virgin olive oil': '2', 'bell peppers, sliced': '3', 'salted butter': '4', 'garlic, minced or grated': '3', 'juice from 1 lemon': 'seasoning', 'steamed rice, for serving': '3', 'avocado, sliced': '1', 'fresh herbs such as basil, cilantro, and or mint': 'seasoning'}","['1. In a medium bowl, toss together the steak, thyme, paprika, chili powder, oregano, onion powder, cayenne, and a pinch each of salt and pepper.', '2. \xa0Heat 1 tablespoon oil in a large skillet over high heat. When the oil shimmers,\xa0add the peppers and season with salt and pepper. Cook 5 minutes or until the peppers are soft and tender, remove from skillet to a plate.', 'Heat 1 tablespoon oil in a large skillet over high heat. When the oil shimmers,', 'add the peppers and season with salt and pepper. Cook 5 minutes or until the peppers are soft and tender, remove from skillet to a plate.', '3. Return the skillet to high heat and add the remaining oil. Add the steak and cook, undisturbed for 3-5 minutes. Stir and cook, undisturbed for another 3-5 minutes until the steak is taking on color. Add the butter and garlic, toss to coat and cook until the garlic is fragrant and caramelized, about 2-3 minutes. Remove from the heat and stir in the lemon juice.', '4. Serve the beef and peppers over rice. Top with avocado and fresh herbs. Enjoy!', '4. Serve the beef and peppers over rice. Top with avocado and fresh herbs. Enjoy!']",725 kcal,6,https://www.halfbakedharvest.com/wp-content/uploads/2019/04/30-Minute-Cajun-Butter-Steak-and-Peppers-1-700x1050.jpg
Cauliflower Al Pastor Quesadilla with Lime Smashed Avocado.,{'minutes': '15'},{'minutes': '30'},{'minutes': '45'},"['garlic, minced or grated', 'chili powder', 'smoked paprika', 'chipotle peppers in adobo', 'pineapple juice', 'apple cider or white vinegar', 'fresh pineapple chunks, plus additional pineapple chunks for serving', 'extra virgin olive oil', 'cauliflower, cut into florets', 'of a yellow onion, thinly sliced', 'jalapeño, seeded and diced', 'fresh cilantro, chopped', 'whole wheat or regular flour tortillas', 'shredded sharp cheddar cheese', 'shredded pepper jack cheese', 'extra virgin olive oil, for cooking', 'avocados, mashed', 'juice and zest of 1 lime', 'Maldon sea salt']","{'garlic, minced or grated': '2', 'chili powder': '2', 'smoked paprika': '2', 'chipotle peppers in adobo': '2', 'pineapple juice': '1/2', 'apple cider or white vinegar': '¼', 'fresh pineapple chunks, plus additional pineapple chunks for serving': '2', 'extra virgin olive oil': '2', 'cauliflower, cut into florets': '1', 'of a yellow onion, thinly sliced': '½', 'jalapeño, seeded and diced': '1', 'fresh cilantro, chopped': '1/2', 'whole wheat or regular flour tortillas': '4', 'shredded sharp cheddar cheese': '1/2', 'shredded pepper jack cheese': '1/2', 'extra virgin olive oil, for cooking': 'seasoning', 'avocados, mashed': '2', 'juice and zest of 1 lime': 'seasoning', 'Maldon sea salt': 'seasoning'}","['1. In a blender or food processor combine the garlic, chili powder, paprika, chipotle chilies, pineapple juice, vinegar and 1 cup of the pineapple chunks. Blend until completely smooth.', '2. Heat the olive oil in a large skillet over medium heat. When the oil shimmers, add the cauliflower, onions, and a pinch each of salt and pepper. Cook for 12-15 minutes or until the cauliflower is tender and the onions have caramelized. Reduce the heat to low stir in the pineapple sauce, the remaining cup of pineapple chunks and the jalapeño. Simmer for 8-10 minutes or until the sauce has reduced and coats the cauliflower, there will still be sauce left in the pan. Remove from the heat and stir in the cilantro.', '3. Meanwhile, stir together the avocado, lime juice and zest, and a pinch of salt.', '4. Lay the tortillas flat on a clean counter. On top of 2 tortillas, evenly layer the cheeses and cauliflower, then lay the remaining 2 tortillas on top.', '5. Heat the olive oil in a large skillet over medium heat. When the oil shimmers, place the quesadillas, one at a time, in the skillet and cook until golden on each side, about 4-5 minutes per side. Serve topped with avocado and grilled pineapple.']",695 kcal,4,https://www.halfbakedharvest.com/wp-content/uploads/2019/04/Cauliflower-Al-Pastor-Quesadillas-with-Lime-Smashed-Avocado-1-700x1050.jpg
Vietnamese Rice Noodle Salad with Mushrooms and Spicy Peanut Vinaigrette,{'minutes': '30'},{'minutes': '10'},{'minutes': '40'},"['Portobello mushroom caps, halved', 'sesame oil, or extra virgin olive oil', 'low sodium soy sauce', 'garlic, minced or grated', 'fresh ginger, grated', 'shallots, thinly sliced', 'vermicelli rice noodles', 'romaine lettuce, shredded', 'carrots, shredded', 'green onions, chopped', 'Persian cucumbers, thinly sliced', 'fresh cilantro and mint, roughly chopped', 'roasted peanuts, chopped', 'Fresno or jalapeño pepper, sliced', 'sesame oil', 'rice vinegar', 'chili sauce', 'low sodium soy sauce', 'honey', 'creamy peanut butter', 'juice of 1 lime']","{'Portobello mushroom caps, halved': '4-6', 'sesame oil, or extra virgin olive oil': '2', 'low sodium soy sauce': '2', 'garlic, minced or grated': '2', 'fresh ginger, grated': '1', 'shallots, thinly sliced': '2', 'vermicelli rice noodles': '4', 'romaine lettuce, shredded': '3', 'carrots, shredded': '4', 'green onions, chopped': '3', 'Persian cucumbers, thinly sliced': '2', 'fresh cilantro and mint, roughly chopped': '1/2', 'roasted peanuts, chopped': '1/3', 'Fresno or jalapeño pepper, sliced': '1', 'sesame oil': '1/4', 'rice vinegar': '1/4', 'chili sauce': '2-3', 'honey': '2', 'creamy peanut butter': '1-2', 'juice of 1 lime': 'seasoning'}","['1. Add the mushrooms to a ziplock bag. Next add the oil, soy sauce, garlic, and ginger. Seal the bag and marinate 10 minutes, or in the fridge up to overnight.', '2. Meanwhile, cook the rice noodles according to package directions.', '3. In a large salad bowl, combine the lettuce, carrots, green onions, cucumbers, cilantro, and mint.', '4. To make the vinaigrette. Combine all ingredients in a glass jar or measuring cup and shake (or whisk) until completely smooth.', '5. Preheat your grill, grill pan, or skillet to high. Remove the mushrooms from the marinade and sear for 5 minutes, flip and sear another 5 minutes or until lightly charred on both sides.\xa0Slice into strips.', '6. Heat 1 tablespoon oil in a small skillet over hight heat. Add the shallots and cook, stirring occasionally until caramelized, about 3 minutes. Remove from the pot to the paper towel lined plate. The shallots will crisp as they dry.', '7.\xa0To serve, toss the salad with a few tablespoons of the vinaigrette, then divide the salad among 4 bowls. Add rice noodles and mushrooms to each bowl. Drizzle each bowl with additional vinaigrette and top with shallots, peanuts and chili peppers. Enjoy!', 'To serve, toss the salad with a few tablespoons of the vinaigrette, then divide the salad among 4 bowls. Add rice noodles and mushrooms to each bowl. Drizzle each bowl with additional vinaigrette and top with shallots, peanuts and chili peppers. Enjoy!']",572 kcal,4,https://www.halfbakedharvest.com/wp-content/uploads/2019/04/Vietnamese-Rice-Noodle-Salad-with-Mushrooms-and-Spicy-Peanut-Vinaigrette-1-700x1050.jpg
